stage,axial,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,13,0,6,0,1,0,1,0,2,1,0,0,0,0,0,11,0,11,66,13,0,1,0,11,8,0,5,16,0,0,0,0,0
 24-34,0,0,2.46,0,3.28,0,1.64,1.64,4.93,0,1.64,0.82,0,0,0,0.82,0,27.09,0,13.13,144.47,1.64,0.82,1.64,0,29.55,0,0,0.82,41.86,0,0,4.1,0,0
 36-46,0,0.81,0.81,0,5.64,0,0.81,6.45,30.62,0,1.61,3.22,0,0,0,0,0,42.7,1.61,12.89,175.64,0.81,0.81,0,0.81,33.84,0,0,0,63.65,0,0,0.81,0,0
 48-58,0,0,2.3,0,15.49,0,0.57,6.31,79.76,0,1.15,2.3,0,0,0,0,1.15,61.97,3.44,8.03,106.73,1.15,0,3.44,0,14.92,0,0,0,61.97,0,0,0.57,0,1.15
 60-70,0,0,3.93,0,6.87,0.98,0,6.87,54.97,0,0,4.91,0,0,0,0,0.98,66.74,3.93,2.94,31.41,3.93,0,1.96,1.96,14.72,0,0,0,24.54,0,0.98,1.96,0,0
 72-82,0,0,6.87,0,12.76,0.98,0.98,9.82,59.88,0,0,10.8,0,0,0.98,0,0,125.65,8.83,7.85,39.27,1.96,0,5.89,0.98,8.83,0,1.96,0,2.94,0,3.93,2.94,2.94,0
 84-94,0,0,8.5,0,18.05,0,2.12,5.31,36.11,0,1.06,8.5,0,0,0,1.06,0,54.16,3.19,8.5,25.49,3.19,1.06,1.06,2.12,29.74,0,0,0,7.43,0,2.12,0,2.12,1.06
 96-106,0,0,6.56,0,15.3,0,2.19,3.28,41.53,1.09,0,7.65,0,0,1.09,0,0,84.15,6.56,4.37,28.41,4.37,0,6.56,1.09,28.41,0,0,0,2.19,0,2.19,0,3.28,1.09
108-118,0,0,15.32,0.77,12.26,0.77,0.77,6.89,26.81,0.77,0,9.96,0,0.77,0,1.53,1.53,60.51,3.83,7.66,25.28,2.3,1.53,6.13,1.53,16.85,0,0,0,1.53,0.77,2.3,2.3,3.06,0
120,1.96,0,9.8,0,9.8,0,0,9.8,37.24,0,0,9.8,1.96,0,0,0,0,70.55,3.92,7.84,43.12,11.76,1.96,5.88,0,33.32,0,0,0,1.96,0,1.96,1.96,1.96,0
