stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,26.36,645.72,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,12.26,318.74,0,0,0,0,0,6.13,0,0,0,0,18.39,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,15.77,0,2.63,0,0,0,0,81.49,2.63,13.14,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,56.65,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,3,29,2,0,0,0,1,0,4,7,0
 24-34,0,0,0,0,0,0,0,0,0,6.57,0,3.28,105.07,0.82,0,0,0,0,0,0,5.75,0
 36-46,0,0,0,0,0,0,4.03,0,0.81,4.03,0,0,96.68,0,0,0,0,0,0,0,4.03,0
 48-58,0,0,0,0,0,0.57,4.59,0,0,1.15,0,0.57,62.54,0,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,0,2.94,0,0,1.96,0,0,75.58,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,3.93,2.94,0,0,2.94,0,1.96,50.06,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,4.25,9.56,0,0,2.12,0,0,50.98,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,1.09,8.74,0,0,1.09,0,0,25.14,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,3.83,5.36,0,0,0,0.77,0,33.7,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,3.92,3.92,0,0,1.96,0,0,35.28,0,0,0,0,0,0,0,0,1.96
