stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,6351.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,7410.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,85.81,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,128.81,0,18.4,0,0,783.36,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,4668.59,18.4,0,0,420.59,0,5.26,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,56.65,0,44.06,0,6.29,619.95,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,2306.73,15.73,0,0,330.43,0,0,3.15,0,9.44,0,0,28.32,0,0,0,0
 14-21,0,0,0,10,35,6,96,0,0,137,9,2,0,0,1,0,0,1,48,0,42,1105,2,0,0,19,0,2,1,20,0,7,35,1611,0,0,0,1
 24-34,0,0,0,4.1,5.75,1.64,51.71,0,2.46,112.46,3.28,0,0.82,0,0.82,0,0,10.67,51.71,0,39.4,1536.64,1.64,0.82,0.82,0,0,1.64,0,0,0.82,1.64,17.24,1058.08,0,2.46,0,3.28
 36-46,0,0,0,0,1.61,0,32.23,0,0,38.67,0,0,0,0,0,0.81,0,4.83,53.17,0.81,16.11,1034.48,0,0,0,0,0.81,0,0,0,0,0,0,609.09,0,0,0,3.22
 48-58,0,0,0,0,0.57,0,48.2,0.57,2.87,48.77,0,0.57,0.57,0,0,0.57,0.57,6.89,44.76,1.72,7.46,279.44,0,0,0,0,0,1.15,0,0,0,0,0,309.28,0,0,0,2.3
 60-70,0,0,0.98,0,0,0,20.61,0,2.94,13.74,0,0,0,0,0,0.98,0,0.98,41.22,0,6.87,75.58,0,0.98,0.98,0,0,0,0,0,0,0,0,58.89,0,0,0,0
 72-82,0,0,0,0,0.98,0,15.71,0,3.93,17.67,0,0,0,0,0,7.85,0,0,44.17,0,5.89,53.01,0,0,0,0,0,0,0,0,0,0,0,11.78,0.98,0,0,0
 84-94,0,0,0,0,0,0,20.18,0,2.12,10.62,0,0,0,0,0,8.5,0,2.12,28.68,2.12,2.12,36.11,0,0,0,0,0,1.06,0,0,0,0,0,14.87,0,0,0,2.12
 96-106,0,0,1.09,0,2.19,0,5.46,0,1.09,6.56,0,0,0,0,0,8.74,0,1.09,21.86,0,0,20.76,0,0,0,0,0,0,0,0,0,0,0,5.46,2.19,2.19,0,0
108-118,0,0,0,0,0,0,2.3,0,4.6,2.3,0.77,0,0,0.77,0,22.98,0,0,21.45,0,2.3,17.62,0,0,0.77,0,0.77,0,0,0,0,0,0,0.77,0,0,0.77,0
120,0,0,1.96,0,3.92,0,1.96,0,0,1.96,0,0,0,0,0,21.56,0,0,19.6,0,0,17.64,0,0,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0,0,1.96
