stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,39.53,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,1,4,0,0,1,0,0,0,0,0,0,1,5,0,5,64,0,0,3,0,0,1,0,0,2,26,0,0
 24-34,0,0,0,0,2.46,0,3.28,0,0,0,0.82,0,0.82,0.82,0,0,0,12.31,0,6.57,111.64,0,1.64,0,0,0.82,0,0,0,0,32.83,0.82,0
 36-46,0,0,0,0,0,0,5.64,0,0,2.42,0,0,0,0,0,0,0.81,8.06,0,3.22,201.42,0,1.61,0,0,0,0,0,0,0,45.92,0.81,0
 48-58,0,0,0,0,0.57,0,19.51,0,0.57,6.31,0,0.57,0,0,0,0,1.15,14.92,1.15,1.72,239.85,0,0.57,0,0,0.57,0,0,0,0,33.85,0.57,0
 60-70,0,0,0,0,0.98,0,32.39,0.98,0,1.96,0,0,0,0,0,0.98,0,7.85,0,0.98,217.9,0,0.98,0,0,0.98,0,0,0,0,30.43,0,0
 72-82,0,0,0,0,0,0,31.41,0,0.98,4.91,0,0,0,0,0,0,0,24.54,0,0.98,181.61,0,0,0,0,0.98,0,0,0.98,0,15.71,0,0
 84-94,0,0,0,0,0,0,26.55,0,0,3.19,0,0,0,0,0,0,0,6.37,2.12,0,105.14,0,0,1.06,0,1.06,0,0,0,0,5.31,0,1.06
 96-106,0,0,0,0,1.09,1.09,20.76,0,0,3.28,0,0,0,0,1.09,0,1.09,5.46,0,1.09,60.11,0,0,0,0,2.19,0,0,0,0,4.37,0,1.09
108-118,0,0,0.77,0,0,0,7.66,0,0,0.77,0,0,0,0,0,0,0,8.43,0,0,66.64,0,1.53,0,0,0,0,0,0,0,0.77,0.77,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,3.92,0,0,56.83,0,0,0,0,3.92,0,1.96,0,0,3.92,0,0
