stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
  7-9,5.26,5.26,0,0,5.26,0,2.63,0,0,0,0,0,99.89,0,0,13.14,0,0,0,0,0
 10-12,0,6.29,0,0,3.15,0,3.15,0,0,0,0,0,50.35,3.15,0,15.73,0,0,0,0,0
 14-21,0,0,6,2,5,2,0,0,0,3,0,2,30,0,0,0,1,14,19,9,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,0,0,0.82,6.57,0,0,0,2.46,0,0,4.1,0.82
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0.81,3.22,0.81,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,1.72,0,0,5.16,0,0,0,0.57,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0.98,5.89,0,0,0,0.98,0,0,1.96,0
 72-82,0,0,0,0,1.96,0.98,0,0,0.98,0.98,0,0.98,1.96,0,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,1.06,0,3.19,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,1.09,0,0,1.09,0,0,1.09,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,2.3,0,0.77,0.77,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0,0,3.92,0,0,0,0
