stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,10.67,0,0.82,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0.81,0,17.72,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,1.72,0.57,0.57,0.57,0,0,0,0,0,1.15,0,1.15,4.59,0.57,0,0,33.85,0,1.72,0,0,0.57,0,1.15
 60-70,0,0,0,0,1.96,3.93,0,0,0,0,0,0,0.98,1.96,0,1.96,2.94,0,0,0,21.59,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,1.96,6.87,0,0,0,0,0,0.98,0,2.94,0.98,0,5.89,0.98,0,0,17.67,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,4.25,0,0,0,0,0,1.06,0,1.06,0,0,4.25,0,0,0,32.92,0,0,1.06,1.06,0,0,1.06
 96-106,0,0,1.09,1.09,3.28,7.65,1.09,1.09,2.19,2.19,0,1.09,0,5.46,0,3.28,5.46,1.09,1.09,0,32.79,0,0,0,0,0,2.19,1.09
108-118,0,0,0.77,0,3.06,6.13,0,0,0.77,0,0.77,0,0,0,0,3.83,2.3,0,0.77,0,22.21,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,3.92,0,0,0,1.96,7.84,0,0,0,0,0,1.96,0
