stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,355.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,18.39,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,26.29,0,26.29,0,0,115.66,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,665.06,34.17,0,0,241.84,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,69.23,0,9.44,110.14,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,818.21,40.91,0,0,242.32,0,0,0,0,28.32,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,76,7,11,0,1,0,27,3,0,2,0,1,0,0,0,0,40,0,18,366,12,2,18,14,0,1,1,29,21,0,20,196,0,0,1,0,0
 24-34,0,0,2.46,0.82,18.06,1.64,28.73,0,2.46,0.82,27.91,0.82,0,1.64,0,1.64,0,5.75,0,1.64,45.97,0,20.52,501.54,8.21,13.13,10.67,0,0,9.85,0,0,2.46,0,9.85,187.16,0,0,4.1,0,0
 36-46,0,0,0,0,11.28,0,82.18,0,0,0.81,26.59,0,0,0.81,0,0,0,1.61,1.61,0,66.06,0,16.92,510.79,8.06,14.5,3.22,0,0.81,5.64,0.81,0,4.03,0,0,129.71,0,0,1.61,0,0
 48-58,0,0,0,0,2.3,1.15,134.84,0,0.57,1.15,44.76,0.57,0,0.57,0.57,0.57,0,2.3,0.57,0,79.19,1.15,8.03,387.89,6.89,10.33,2.87,0,0.57,1.72,0,0,3.44,0,0,94.1,0,0.57,2.87,0.57,0
 60-70,0,0,0,0,6.87,0,198.27,0.98,0,0.98,44.17,3.93,0.98,0.98,0.98,0.98,0,7.85,0.98,0.98,84.41,3.93,7.85,415.18,14.72,8.83,4.91,0,1.96,3.93,0,0,0,0,0,55.95,0,0.98,3.93,0.98,0
 72-82,0,0,1.96,0,11.78,0.98,156.08,0,0.98,2.94,42.21,4.91,0,0.98,2.94,0,0.98,2.94,0,0,131.54,6.87,7.85,299.41,14.72,18.65,12.76,0,0,2.94,0,0,0,0,0,44.17,0,1.96,2.94,2.94,0
 84-94,1.06,0,1.06,1.06,12.74,0,121.07,0,3.19,1.06,39.3,0,0,2.12,0,0,1.06,4.25,0,1.06,74.34,6.37,7.43,190.1,18.05,20.18,11.68,0,0,8.5,0,0,2.12,0,0,14.87,0,3.19,5.31,1.06,1.06
 96-106,0,0,3.28,0,12.02,1.09,66.66,0,0,2.19,30.6,6.56,0,3.28,2.19,4.37,1.09,6.56,0,0,51.36,7.65,4.37,114.75,20.76,21.86,12.02,0,0,12.02,0,0,2.19,0,0,7.65,3.28,2.19,2.19,2.19,0
108-118,0,0,0.77,0,17.62,1.53,62.04,0,2.3,1.53,32.17,3.06,0,0.77,2.3,0,0,3.83,2.3,0,53.62,3.06,6.13,183.83,23.74,18.38,18.38,0,0,5.36,0,0,3.06,1.53,0,8.43,2.3,0.77,3.83,0.77,2.3
120,0,0,1.96,0,17.64,0,74.47,0,0,0,33.32,1.96,0,1.96,0,0,0,1.96,0,0,35.28,1.96,5.88,194.02,21.56,7.84,3.92,0,0,5.88,0,0,1.96,0,0,1.96,0,1.96,1.96,1.96,0
