stage,axial,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,0,21.03,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,22.03,0,0,0,0,0,0,0,0
 14-21,0,16,1,0,1,0,0,2,0,0,0,1,2,0,0,0,0,3,0,1,14,0,0,0,0,513,1,0,2,6,0,4,0,0
 24-34,0,21.34,1.64,0,4.1,0,0.82,1.64,0,0,0,0,25.45,0,0.82,0,0,0.82,9.85,4.1,50.07,0.82,7.39,1.64,0,843.02,0,0,0.82,8.21,0,18.06,0,0
 36-46,0,7.25,0,0,9.67,4.03,0.81,1.61,0,0,0,1.61,12.89,0,1.61,0,0,5.64,5.64,2.42,49.95,0,9.67,0,0,747.66,0,0,0,8.86,0,3.22,0,0
 48-58,0.57,9.75,0,0,15.49,4.02,0,4.59,1.15,0,0.57,2.87,6.31,0,2.3,0,1.15,6.89,7.46,1.72,36.72,0,9.18,0,0,553.15,0,0,0,8.03,0,1.72,0,0.57
 60-70,0,22.58,0,0.98,4.91,7.85,0,0.98,0,0,0,1.96,10.8,0,1.96,0,0,4.91,4.91,2.94,25.52,0,3.93,0,0,436.78,0,0,0,5.89,1.96,1.96,0,0
 72-82,0,61.84,0,0,17.67,3.93,0,2.94,2.94,0,0,15.71,34.36,0,9.82,0,0,4.91,10.8,0,26.5,0,5.89,0.98,0,458.44,0,0,0,0.98,0.98,1.96,0,0
 84-94,0,126.38,0,0,8.5,27.61,0,0,6.37,0,0,19.12,59.47,0,9.56,0,0,2.12,19.12,0,16.99,1.06,25.49,1.06,0,1449.68,0,1.06,0,4.25,12.74,2.12,0,0
 96-106,0,195.62,1.09,3.28,9.84,32.79,0,7.65,24.04,0,0,29.51,73.22,0,19.67,1.09,0,15.3,20.76,0,25.14,0,26.23,2.19,0,1241.47,0,0,0,0,8.74,3.28,1.09,0
108-118,0,184.6,4.6,0.77,11.49,49.02,0,2.3,24.51,0,0,29.87,88.09,1.53,9.19,0.77,0,10.72,20.68,1.53,28.34,0,17.62,0.77,0,1210.22,0,0,0,0.77,10.72,1.53,0.77,0.77
120,0,121.51,0,0,7.84,33.32,0,5.88,3.92,0,0,48.99,27.44,0,11.76,0,0,7.84,15.68,3.92,23.52,0,13.72,0,0,830.95,0,1.96,0,1.96,5.88,1.96,1.96,0
