stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,3,0,9,27,1,0,0,1,0,0,11,38,158,2,0,0,1,0,0
 24-34,0,0,1.64,0.82,0,7.39,0,0,0,0,0,0,0,0,0,0,0,11.49,0,12.31,24.63,0,0,0,0,0,1.64,0,4.1,23.8,7.39,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0.81,0.81,0,0.81,0,0,0.81,0,0,0,0,8.06,0,8.06,26.59,0,0.81,0,0,0,0,0,0.81,1.61,5.64,0,0,0,0,0
 48-58,0,0,0,0,0.57,5.74,2.87,0.57,0,1.15,0.57,0,0,0,0,0,0,5.16,0.57,4.02,42.46,0,0,0.57,0,0,0,0,1.72,0,4.59,0,0,0,0,0.57
 60-70,0,0,0,0.98,0,30.43,0,0,0,0.98,0,0,0,0,0,0.98,0,8.83,0,6.87,104.04,0,0,1.96,0,0,0.98,0,2.94,0,2.94,0,0,0,0,0
 72-82,0,0,0,2.94,0.98,68.72,0.98,0,0,2.94,0,0,1.96,0,0,0,0.98,10.8,0,4.91,116.82,0,0,0,0,0.98,0.98,0,0,0,6.87,0.98,0.98,0,0,0.98
 84-94,0,0,0,3.19,0,41.42,0,0,1.06,6.37,0,0,0,1.06,1.06,1.06,0,3.19,1.06,6.37,71.16,0,0,0,0,0,1.06,0,1.06,0,4.25,1.06,1.06,0,1.06,0
 96-106,0,0,0,1.09,0,43.71,4.37,0,0,3.28,0,0,0,1.09,0,3.28,0,3.28,1.09,4.37,55.74,0,2.19,0,0,0,0,0,1.09,0,1.09,0,1.09,2.19,0,0
108-118,0,0,0,1.53,0.77,32.94,3.06,0,0,6.13,0,0,0,0,0.77,0,0.77,9.19,0,4.6,79.66,0,0,0,0,0,2.3,0,0,0,1.53,0.77,0,0,0,0
120,0,0,0,1.96,0,43.12,0,0,0,1.96,0,0,0,0,0,0,1.96,1.96,0,3.92,101.91,1.96,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0
