stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,1,2,0,0,0
 24-34,0,0.82,1.64,0,0,0,0,0,1.64,0,0.82,6.57,0,0,0,1.64,2.46,0.82,0.82,0,0,0
 36-46,0,0.81,0.81,1.61,0,0,0,0,0,0,0.81,4.83,0,0,0,1.61,0,0,0,0,0.81,0
 48-58,0,0.57,3.44,0.57,0,0.57,0,0,0.57,0.57,0,3.44,0,0,0,0,0.57,0,1.72,0,0,0
 60-70,0,0.98,3.93,0,0,0,0,0,0.98,0,0,3.93,0,0,0.98,0.98,3.93,0,0.98,0,0,0
 72-82,1.96,0,6.87,0,0,1.96,0,0,6.87,0,0,6.87,0.98,0.98,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,3.19,1.06,1.06,0,0,0,2.12,0,0,2.12,0,0,0,1.06,0,0,0,0,2.12,0
 96-106,0,0,2.19,0,0,0,1.09,0,0,0,0,3.28,0,0,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0.77,0,0,0.77,0,0,2.3,0.77,0.77,7.66,0,0,0,0.77,1.53,0,0,0,0,1.53
120,0,0,3.92,1.96,0,0,1.96,1.96,0,0,0,11.76,0,0,0,1.96,0,0,0,0,0,0
