stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,34,0,0,1,1,1,0,4,0,2,12,9,0,0,1,0,0
 24-34,0,0,0,0,5.75,0,0,2.46,0.82,3.28,0,0,0,0,0,0,0.82,0,0,0,0,6.57,0.82,0,4.93,63.21,0,8.21,0,0,18.06,0,0,0.82,1.64,3.28,22.16,0,0,5.75,0,0
 36-46,0,0,0,0,6.45,0,0,6.45,2.42,0,1.61,2.42,0,0.81,0,0.81,2.42,1.61,0,0,0,5.64,0,0.81,4.83,147.44,0,13.7,0.81,0,17.72,0,0,2.42,1.61,0,25.78,0,0,2.42,0,0.81
 48-58,0,0,0,0,5.74,0,0,37.87,2.3,2.87,1.15,6.89,0,0.57,0,1.15,0.57,1.15,0.57,0,1.72,18.94,4.02,0,0.57,213.46,0,12.05,1.15,0,17.79,0,0,1.15,0.57,0,36.15,0,0.57,5.74,0,1.72
 60-70,0,0,0,0,9.82,1.96,0,178.64,0.98,6.87,3.93,19.63,0.98,0,0.98,0,0,0,0.98,0,0.98,38.28,0,1.96,7.85,305.25,0.98,9.82,4.91,0,27.48,0,0,0.98,0,0,29.45,0,0.98,1.96,0.98,0.98
 72-82,0,0,4.91,0,9.82,28.47,0,281.74,0.98,1.96,8.83,56.94,3.93,0,0.98,3.93,1.96,0.98,0.98,0.98,0,76.57,6.87,1.96,4.91,305.3,1.96,15.71,5.89,0,27.49,0,0,0,0.98,0,34.36,0,0.98,10.8,1.96,0
 84-94,0,0,1.06,0,11.68,10.62,1.06,159.31,2.12,6.37,4.25,29.74,8.5,0,1.06,6.37,4.25,0,0,0,1.06,32.92,4.25,1.06,4.25,159.31,0,15.93,7.43,0,73.28,0,0,1.06,3.19,0,10.62,1.06,1.06,7.43,3.19,2.12
 96-106,0,0,3.28,0,13.11,13.11,0,130.05,1.09,0,1.09,18.58,7.65,0,2.19,8.74,7.65,2.19,3.28,2.19,0,45.9,5.46,1.09,3.28,134.42,2.19,14.21,16.39,0,59.01,0,0,4.37,2.19,0,6.56,1.09,1.09,12.02,2.19,2.19
108-118,0,0,0.77,0,20.68,9.96,0,105.7,1.53,5.36,2.3,22.98,4.6,0.77,0.77,2.3,6.89,3.83,1.53,0.77,0,39.83,0,2.3,7.66,121.79,0,13.79,6.89,0,34.47,0,0,2.3,1.53,0,9.19,1.53,0.77,4.6,1.53,0.77
120,0,0,0,0,33.32,23.52,0,129.35,0,7.84,1.96,11.76,11.76,0,0,17.64,7.84,3.92,1.96,5.88,0,29.4,0,3.92,1.96,154.82,3.92,13.72,5.88,1.96,33.32,0,0,1.96,0,0,7.84,1.96,3.92,9.8,1.96,0
