stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0.82,0,0,0,0,0,0,3.28,0,0,55.82,0,0,0,0,0,0,4.1,0,1.64,0,0
 36-46,0,0,0,1.61,0,16.11,0,0,0,25.78,0,0,0,0,0,0,17.72,1.61,1.61,367.39,0,0,0,0,0,0,48.34,0,0.81,0,0
 48-58,0,0,0,4.02,0.57,59.1,0,0,2.87,76.89,1.72,0,0.57,1.15,0,0,68.86,3.44,10.9,616.84,1.72,0,1.15,1.15,0.57,0,105.58,0,1.72,0,0.57
 60-70,0,0,0,5.89,2.94,152.14,0.98,0.98,4.91,63.8,0.98,0.98,0,0.98,0.98,0,103.06,10.8,11.78,800.92,0.98,0.98,1.96,0,0.98,0,94.23,0,1.96,0,0
 72-82,0,0,0,8.83,0,200.26,0,0,3.93,67.73,1.96,0,0,2.94,0,0,141.36,5.89,17.67,760.79,0,0,2.94,0.98,0,0,48.1,3.93,9.82,2.94,0
 84-94,0,0,0,8.5,0,91.34,1.06,1.06,4.25,35.05,2.12,0,0,2.12,2.12,0,63.72,6.37,13.81,257.01,5.31,0,7.43,1.06,2.12,0,32.92,1.06,6.37,3.19,0
 96-106,0,0,1.09,3.28,3.28,62.29,2.19,0,1.09,28.41,1.09,0,0,1.09,0,0,52.46,3.28,9.84,182.51,2.19,0,1.09,2.19,2.19,0,7.65,2.19,6.56,3.28,1.09
108-118,0,0,0,12.26,0,59.75,0,0.77,2.3,31.4,2.3,0.77,0.77,0.77,0,2.3,65.87,5.36,9.96,234.38,1.53,0.77,1.53,0,0.77,0,6.13,0.77,6.89,3.83,1.53
120,1.96,0,0,17.64,3.92,92.11,0,1.96,1.96,58.79,1.96,1.96,3.92,0,1.96,3.92,90.15,17.64,5.88,358.64,7.84,0,3.92,3.92,1.96,0,5.88,1.96,11.76,0,3.92
