stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,20,0,0,0,1,0,4,1,0,1,2,0,27,0,0,45,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,32.01,0,0.82,0,2.46,0.82,8.21,0,0.82,0,0,0,30.37,0.82,0.82,45.15,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,22.56,0,0,0,0,0,6.45,0,2.42,0,0,0,21.75,0,0,27.39,0,0,0
 48-58,0,0,0,0,0,0,2.87,2.3,0,34.43,0,0,0,1.15,0,8.03,0,2.3,0,0,0,8.03,0,0,34.43,0,0,0
 60-70,0,0,0,0,0,0,2.94,0,0.98,14.72,0,0,0,0,0,9.82,0,3.93,0,0,0,5.89,0.98,0,23.56,0.98,0,0
 72-82,0,0.98,0,0,0,0,3.93,1.96,0,21.6,0,0,0,5.89,0,4.91,0,3.93,0,0,0,5.89,0,0,7.85,0.98,0.98,0
 84-94,0,0,1.06,1.06,0,0,3.19,0,1.06,13.81,0,0,0,0,1.06,5.31,0,12.74,0,0,0,15.93,0,0,18.05,1.06,0,0
 96-106,0,1.09,3.28,0,2.19,0,3.28,2.19,0,16.39,2.19,1.09,1.09,0,0,1.09,0,12.02,0,0,0,13.11,1.09,0,10.93,0,0,1.09
108-118,0,0,0.77,1.53,0,0.77,2.3,0.77,0.77,4.6,0,0,1.53,1.53,0,2.3,0,11.49,0,0,0.77,13.02,0,0,6.89,0,0,0
120,0,0,0,1.96,0,0,1.96,1.96,0,7.84,1.96,1.96,0,1.96,0,0,0,9.8,0,0,0,11.76,0,0,5.88,1.96,0,0
