stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,2.46,0,0,0.82
 36-46,0,0,1.61,0.81,0,0,0,0,0.81,0,0,0,0,8.86,0,0,0,4.03,0,0,0.81
 48-58,0,0,0.57,0.57,0,0.57,0,0,0,0,0,0,0,6.89,0,0,0,2.3,0,0,0.57
 60-70,0,0,0,2.94,0,0.98,0,0,0,0,0.98,0.98,0,9.82,0,0,0,3.93,0,0,0
 72-82,0,0,0,3.93,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,1.06,3.19,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,5.31,0,0,1.06
 96-106,0,0,3.28,1.09,0,0,0,0,0,0,1.09,1.09,0,1.09,1.09,1.09,0,0,0,0,0
108-118,0,0,0.77,1.53,1.53,0,1.53,0.77,0,0.77,1.53,0.77,0,0.77,0,0.77,0,4.6,0,0,0
120,0,0,0,0,0,0,0,0,0,3.92,0,0,0,1.96,0,0,0,0,0,0,0
