stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,49.95,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,1,1,1,3,7,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0.82,1.64,0,22.98,0,0,0,0,0,0,0,0.82,0,5.75,0,0.82,0
 36-46,0,0,0,0,0,1.61,3.22,0,0,0,0,0,0,0,0,35.45,0,0.81,0,0,1.61,0.81,0,0,0,8.86,0,0,0
 48-58,0,0,0,0,0,2.87,5.16,0,0,0,0,0.57,0,1.15,0.57,22.38,0,0.57,0,0,0,0,0,0,0,6.31,0,0,0
 60-70,0,0,0,0,0,3.93,2.94,0.98,0,0,0.98,0,0,0,0.98,19.63,0,0,0,0,0,0,0,0,0,5.89,0,0,0
 72-82,0,0,0,0,0.98,5.89,5.89,0,0,0.98,0,0,0,1.96,0,20.61,0,0,0,0,0,0,0,0,0,2.94,0.98,0,0
 84-94,0,0,0,0,1.06,3.19,5.31,1.06,0,1.06,0,0,0,2.12,1.06,9.56,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,2.19,0,0,1.09,1.09,0,0,0,0,4.37,0,0,0,0,3.28,0,0,1.09,0,1.09,0,1.09,1.09
108-118,0,0,0,0,0,3.06,3.06,0.77,0,0,0,0,0,1.53,0,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,3.92,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0
