stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,158.14,2477.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,802.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,68.35,2.63,0,0,13.14,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,3.15,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,2,0,0,0,2,19,0,1,13,0,0,1,0
 24-34,0,0,0,0.82,0.82,27.09,0,0,0.82,3.28,0.82,0,0.82,0,0,0,0,0,0.82,15.6,0,0,2.46,263.49,0.82,8.21,7.39,0,0,5.75,0,0,4.93,0,0,70.59,0,0,0.82,0
 36-46,0,0,0,0.81,0.81,66.06,0,0,0.81,4.03,0,0,0.81,1.61,0.81,0,0,0,0,23.36,0,0,0.81,276.34,1.61,10.47,4.03,0,0,5.64,0,0,0.81,0,0,80.57,0,0,0,1.61
 48-58,0,0,0,0.57,0,126.24,0,0,0,11.48,0.57,0.57,0,0.57,0.57,0,0.57,0,1.15,20.66,0.57,0,3.44,337.97,0,3.44,7.46,0,0,5.16,0,0,2.3,0,0,90.09,0,0,2.3,1.72
 60-70,0,0,0,1.96,0.98,178.64,0,0.98,0,16.69,1.96,0.98,0,2.94,0,0.98,3.93,0,0.98,27.48,0,0,1.96,598.73,0,1.96,13.74,0,0,1.96,0,0,0.98,0,0,116.8,0,0.98,0,0.98
 72-82,0,0,0,9.82,2.94,254.25,1.96,1.96,0,28.47,2.94,0,0,6.87,0,0,13.74,0.98,0.98,44.17,0,0.98,4.91,650.84,0,7.85,34.36,0,0.98,0,0,0,0.98,0.98,0,94.24,0,0,1.96,1.96
 84-94,0,0,0,8.5,1.06,148.69,0,4.25,0,23.36,0,0,0,10.62,0,0,14.87,0,1.06,24.43,1.06,2.12,6.37,401.45,0,6.37,49.92,0,0,40.36,0,0,4.25,0,0,69.03,1.06,0,2.12,3.19
 96-106,0,0,1.09,16.39,4.37,184.69,0,3.28,0,54.64,6.56,0,1.09,16.39,0,1.09,24.04,0,0,24.04,1.09,0,1.09,415.28,1.09,10.93,55.74,0,2.19,24.04,0,0,3.28,0,0,40.44,1.09,0,3.28,3.28
108-118,0,0,0.77,13.02,2.3,142.47,0,2.3,0.77,41.36,2.3,0,0,6.89,1.53,0,15.32,2.3,0,26.81,1.53,0,1.53,404.43,1.53,6.13,43.66,0,0,35.23,0,0,0.77,0,0,26.81,0,0,2.3,2.3
120,0,0,1.96,27.44,3.92,127.39,1.96,5.88,0,60.75,3.92,0,1.96,19.6,0,1.96,17.64,0,0,37.24,1.96,0,5.88,558.54,0,5.88,50.95,0,0,33.32,0,0,0,1.96,0,45.08,0,0,5.88,0
