stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,39.53,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,50.35,12.59,0,0,15.73,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,1,9,1,1,0,0,20,0,1,0,0,0,1,1,0,1,20,1,5,8,3,3,0,3,23,1,80,0,0
 24-34,0,0,3.28,0,13.13,0,1.64,0.82,0,10.67,0,0.82,0,4.93,1.64,1.64,0.82,0,5.75,32.01,0.82,14.78,2.46,0,4.1,0,0,7.39,0.82,69.77,0,0.82
 36-46,0,0,0,0,4.83,0,1.61,0,0.81,7.25,0,0,0,0.81,0.81,0,7.25,0,0.81,24.98,0,19.34,0.81,0,3.22,0,0,7.25,0,30.62,0,0
 48-58,0,0,0,0,2.3,0,4.02,0.57,0,12.62,0.57,0,0,0,0,0,4.59,0.57,1.15,9.75,0,17.79,1.72,0,0,0,0,4.02,0,30.41,0,0
 60-70,0,0,0,0,1.96,0,13.74,0,0,11.78,1.96,0,0,0.98,2.94,0,0.98,0,0,11.78,0,18.65,4.91,0,1.96,0,0,0,0,19.63,0,0
 72-82,0,0,6.87,0,5.89,0,2.94,1.96,0.98,10.8,5.89,0,0,1.96,4.91,0,7.85,0,0.98,6.87,0,28.47,7.85,0,0,0,0,0,0,7.85,0,0
 84-94,0,0,4.25,0,7.43,0,8.5,3.19,0,8.5,5.31,0,0,2.12,4.25,0,2.12,0,0,7.43,0,19.12,13.81,0,1.06,0,0,7.43,0,7.43,0,0
 96-106,0,0,3.28,0,4.37,1.09,3.28,3.28,0,12.02,5.46,0,1.09,7.65,3.28,1.09,5.46,1.09,2.19,5.46,0,39.34,14.21,0,3.28,0,0,0,0,9.84,0,0
108-118,0,0,0.77,0.77,7.66,0,3.06,1.53,0,3.06,0.77,0,0,6.13,3.83,0,3.06,0,0.77,3.83,0,18.38,7.66,0,0.77,0,0,1.53,0,4.6,0,0
120,0,0,0,1.96,11.76,0,3.92,1.96,0,5.88,0,0,0,9.8,1.96,0,7.84,0,0,9.8,0,23.52,3.92,0,0,0,0,3.92,0,1.96,1.96,0
