stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
 24-34,0,0,46.79,0.82,0,2.46,0,11.49,0,0,0,0,0.82,0,0,0,0,0,0,6.57,0.82,1.64,0.82,4.93,0,0,0,0,0,0,0,0,0.82,0,0,34.48,0,0
 36-46,0,0,37.87,0.81,0,1.61,0,16.92,0,1.61,0,0,0.81,0,0,0,0,0,0,63.65,0,4.83,7.25,7.25,0,0.81,0,0,0,0,0,0,1.61,0,0,31.42,0,0
 48-58,0,0,26.4,0,0,5.74,0,14.92,2.3,0.57,0,0,2.3,0,0,0,0,0.57,0.57,90.66,0,3.44,4.59,8.61,0,0,0,0,1.15,0,0,0,0.57,0,1.15,28.69,0,0
 60-70,0,0,44.17,0,0,8.83,0.98,21.59,3.93,8.83,0,0,3.93,0,0,0,1.96,0,0,254.21,0.98,5.89,12.76,12.76,0,0,0,0,3.93,0.98,0,0,2.94,0.98,2.94,41.22,0.98,0.98
 72-82,0,0,44.17,0,0,25.52,0,25.52,4.91,10.8,0,0,15.71,0,1.96,0.98,1.96,0,0,427.02,0.98,10.8,10.8,25.52,0,0,0.98,0,2.94,0.98,0,0,4.91,0,9.82,97.18,10.8,0.98
 84-94,0,0,110.45,0,0,19.12,0,36.11,4.25,3.19,1.06,0,10.62,0,1.06,2.12,0,0,0,268.7,0,18.05,9.56,12.74,0,3.19,0,0,4.25,0,1.06,0,1.06,0,5.31,70.09,6.37,0
 96-106,0,0,108.19,0,0,17.49,0,38.25,10.93,1.09,1.09,0,19.67,1.09,1.09,2.19,3.28,0,0,280.86,1.09,21.86,9.84,30.6,0,6.56,0,0,14.21,3.28,0,1.09,0,1.09,6.56,97.26,9.84,0
108-118,0,0,98.81,0.77,0.77,16.85,0.77,55.15,6.13,9.19,1.53,0,8.43,0,5.36,2.3,2.3,0,0,263.49,0,9.19,9.96,22.98,0.77,1.53,0,0,6.89,0.77,0,0.77,1.53,0.77,6.89,81.19,8.43,0
120,0,0,82.31,3.92,0,15.68,0,41.16,5.88,5.88,3.92,0,11.76,0,0,5.88,3.92,0,0,180.3,1.96,3.92,5.88,21.56,0,0,0,0,5.88,0,0,0,1.96,1.96,7.84,86.23,5.88,0
