stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,0,128.72,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,2,0,2,13,0,0,0,0,0,1,4,1,0,0,0,0
 24-34,0,0,0,1.64,0,0,0.82,0.82,0,10.67,0,2.46,8.21,0,0.82,0,0,0,0.82,0.82,1.64,0,0,0,0
 36-46,0,0,0,1.61,0,0.81,0,0.81,0,4.03,0,2.42,10.47,0.81,0,0,0,0,0,0,2.42,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,7.46,0,0,4.59,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.96,0,0,0,0,0,8.83,0,0.98,5.89,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0.98,0.98,0,0,4.91,0,0.98,9.82,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,1.06,1.06,0,0,8.5,1.06,1.06,6.37,0,0,0,1.06,0,0,0,3.19,1.06,0,0,0
 96-106,0,0,0,2.19,0,1.09,0,0,0,14.21,3.28,1.09,3.28,0,0,0,0,0,0,0,0,0,1.09,0,1.09
108-118,0,0,0,0.77,0.77,0,0,0,0.77,13.02,0,0.77,6.89,0,0,0,0,0,0,0,0.77,0,0,1.53,0
120,0,0,3.92,5.88,0,0,0,0,0,11.76,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96
