stage,axial,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,glial,gut,hatching_gland,liver,mesenchyme,muscle,neural,olfactory,periderm,pronephros,vascular_smooth_muscle
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0
 48-58,0,0,0,0,0,0,0.57,0,0,0.57,0,0.57,0.57,0.57,0.57,0
 60-70,0,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,8.83,0,0,0,0,0,1.96,0,2.94,0
 84-94,0,0,2.12,0,0,0,5.31,0,0,0,0,0,0,0,3.19,0
 96-106,0,0,1.09,0,0,1.09,6.56,0,0,0,1.09,1.09,0,0,6.56,0
108-118,0,0,0,0.77,0,0,4.6,0,3.06,0,0,0,0,0,1.53,0
120,0,0,0,0,1.96,0,3.92,0,1.96,1.96,0,0,0,0,7.84,1.96
