stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,79.07,896.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,312.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,15.77,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,9.44,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,9,0,0,0,0,11,0,15,0,8,46,4,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,1.64,0,0,0.82,0,7.39,4.93,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,4.83,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,22.56,0,0.81,0,0,0,0,0,0.81,0,0,7.25,0,0,0,0
 48-58,0,0,0,0.57,1.15,0,0,13.2,0,0,1.15,0,0,0,0,0,0,0.57,0,0,1.15,0,0.57,39.59,0,0.57,0,0,0,0,0,0,0,0,5.16,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,163.91,1.96,0.98,8.83,0,0,0,0,0,0,0,0,0.98,9.82,0,0.98,112.88,0,1.96,0.98,0,0,0,0,0,0,0,6.87,0,0,0,0
 72-82,0,0,0,0,2.94,0.98,0,316.1,6.87,6.87,15.71,0,0,0,1.96,0.98,0,0,0.98,0,22.58,0,4.91,117.8,0,1.96,0.98,0,0.98,0,0,0,0,0,9.82,0,0,0.98,0
 84-94,0,0,0,0,8.5,0,0,169.93,16.99,5.31,10.62,1.06,0,0,0,0,1.06,1.06,0,1.06,13.81,0,2.12,83.9,0,2.12,0,0,0,1.06,0,0,0,0,5.31,1.06,1.06,1.06,0
 96-106,0,0,0,0,1.09,1.09,1.09,199.99,12.02,1.09,14.21,0,0,1.09,1.09,1.09,0,1.09,2.19,0,17.49,0,4.37,80.87,0,3.28,2.19,0,2.19,0,0,0,0,0,6.56,0,0,1.09,0
108-118,0,0,0.77,0,5.36,0,0,156.26,10.72,2.3,6.89,0.77,0,1.53,1.53,0.77,1.53,0,2.3,0,16.85,0.77,0,98.81,0,3.06,2.3,0,0.77,0,0,0,0,0,3.06,0.77,0,0.77,0
120,0,0,0,0,0,1.96,0,103.87,3.92,3.92,9.8,0,0,0,1.96,0,0,0,3.92,0,9.8,0,3.92,97.99,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,1.96
