stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,19,0,0,1,0,1,5,0,0,0,0,0
 24-34,0,0,0.82,0,6.57,0,0,1.64,0.82,0.82,0,3.28,0,0,0.82,42.68,0,0.82,0,0.82,0.82,9.03,0,0,1.64,0,0
 36-46,0,0,0,0,9.67,0,0,1.61,0,0,0,1.61,0,0,0,78.15,1.61,0.81,0,0.81,0,15.31,0,0,0.81,0,0
 48-58,0,0,0,0,18.36,0,0,2.87,0,1.15,0.57,4.02,0,0,2.3,64.84,0,0.57,0,0,0,18.36,0,0,0,0,0.57
 60-70,0,0,0.98,0,26.5,0,0.98,7.85,0,0,0,4.91,0,0,0.98,58.89,0,0,0,0,0,16.69,0,0,0,0,0
 72-82,0,0,0.98,0,29.45,0,0,5.89,0,0,0,6.87,0.98,0.98,0,53.01,0,0,0,0,0,5.89,0,0.98,2.94,0,0
 84-94,0,0,1.06,0,27.61,0,0,2.12,0,1.06,0,5.31,0,0,1.06,25.49,0,0,0,1.06,0,2.12,0,0,0,1.06,0
 96-106,0,0,1.09,0,12.02,2.19,0,2.19,1.09,4.37,0,6.56,0,0,0,17.49,0,0,0,1.09,0,2.19,0,0,0,1.09,0
108-118,0,0,1.53,0,12.26,0,0.77,3.06,0,2.3,0,9.19,0,0,0.77,21.45,0,0,0,0,0,1.53,1.53,0,1.53,0.77,0.77
120,0,0,1.96,0,5.88,0,0,1.96,0,0,0,0,0,0,0,21.56,0,0,0,0,0,1.96,0,0,0,0,0
