stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,1,21,0,0,0,0,0
 24-34,0,4.1,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,252.82,0,14.78,0,0,0,0,70.59,0,0,0,0,0
 36-46,0,0,0.81,0,0,15.31,0,0,0,2.42,0,0,0,0,0.81,0,0,0.81,0.81,0,0,704.15,0,19.34,0,0,0,0,127.3,0,0,0,0,0
 48-58,0,0,2.3,0,0,49.92,0.57,0,0,10.33,0,0,0.57,0,0,0,0,0.57,2.87,0.57,0.57,704.06,0,10.9,0,0,1.15,0,118.78,0,0,0.57,0,0
 60-70,0,0.98,0.98,0,0,108.95,0,0,0,16.69,0,0,0.98,0,0,0,0,0,10.8,1.96,0,1089.49,0,12.76,0,0,0,0,144.28,0.98,0.98,0.98,0,0
 72-82,0,1.96,0.98,0.98,0,99.15,0,0,0.98,16.69,0.98,0,0.98,0,0,0,0,0,10.8,0,0,880.55,0,12.76,0,0,0.98,0,66.75,0,0.98,1.96,0,0
 84-94,0,3.19,6.37,0,0,83.9,0,0,0,15.93,2.12,0,0,0,4.25,0,0,0,6.37,2.12,0,487.48,0,10.62,0,0,0,0,50.98,3.19,0,0,0,0
 96-106,0,0,5.46,0,0,72.13,0,0,1.09,12.02,1.09,0,1.09,1.09,0,0,0,0,4.37,0,1.09,393.42,0,5.46,0,0,3.28,0,14.21,2.19,0,0,1.09,0
108-118,0,3.06,6.89,0.77,0,37.53,0,0.77,0,12.26,0,0,0,0.77,0.77,0,0.77,0.77,8.43,0,1.53,405.19,0.77,9.96,2.3,0,0,0,15.32,3.06,0,0,0,0
120,0,0,3.92,0,1.96,45.08,0,1.96,0,3.92,0,0,0,0,0,1.96,0,0,3.92,0,0,393.92,0,19.6,1.96,0,0,0,7.84,3.92,0,1.96,0,1.96
