stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,214.54,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38,0,1,0,0,0,1,0,1,1,0,6,8,0,0,0,0
 24-34,0,0,0,3.28,0,0,32.01,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,1.64,49.25,0,4.93,0,0,0,4.1,0,0,0,0.82,0.82,21.34,0,1.64,0,0.82
 36-46,0,0,0,1.61,0,0,153.88,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,1.61,0,0,1.61,37.87,0,0,0.81,0,0,0,0.81,0,0.81,0,0,20.95,0,0,0,0
 48-58,0,0,0,2.87,0,0,587.58,0,0.57,0,6.31,0,0,0,0.57,0,0.57,0,0,0,4.02,0,0.57,1.15,67.71,0,0,0,0,0,1.15,0,0,0.57,0,0,16.07,0,0,0,0
 60-70,0,0,0,3.93,0,0,1676.44,0.98,0,0,1.96,0,0,0,0,0,0.98,0,0,0,8.83,0,0.98,0.98,78.52,0,0,0.98,0,0,2.94,0,0,0,0,0,9.82,0.98,0,0,0
 72-82,0,0,0,13.74,3.93,0,1824.91,0,0,7.85,23.56,1.96,0,0,3.93,0.98,0,0,0.98,0.98,35.34,0.98,0.98,1.96,98.17,0,1.96,2.94,0,0,4.91,0,0,0,0,0,7.85,1.96,3.93,3.93,0.98
 84-94,0,0,0,29.74,1.06,0,1810.77,0,3.19,2.12,28.68,3.19,0,1.06,1.06,0,0,2.12,0,0,16.99,1.06,3.19,2.12,60.54,4.25,1.06,3.19,0,0,9.56,0,0,1.06,0,0,3.19,1.06,3.19,3.19,1.06
 96-106,0,0,0,9.84,0,0,963.89,2.19,0,0,10.93,1.09,0,1.09,5.46,0,2.19,0,0,0,6.56,1.09,0,1.09,37.16,0,0,1.09,0,0,2.19,0,0,1.09,0,0,3.28,1.09,3.28,0,2.19
108-118,0.77,0,0,2.3,0.77,0.77,687.83,0.77,0.77,0.77,4.6,0.77,0,0,0.77,0.77,0,0,0.77,0,3.83,0,0,3.06,45.19,1.53,0,0,0,0.77,5.36,0,0,0.77,0,0,2.3,0.77,2.3,0.77,0
120,0,0,0,11.76,0,0,680.05,0,5.88,0,17.64,0,0,1.96,1.96,0,0,0,0,0,9.8,0,5.88,3.92,43.12,0,1.96,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0
