stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527.12,0,0,0,0,0,0,0,0,0
  5-6,24.52,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,625.22,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,2.63,0,0,28.92,0,0,0,0,2.63,0,0,0,0,0,0,0,0,191.9,7.89,0,0,60.46,113.03,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,195.11,3.15,0,0,69.23,62.94,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,62,0,3,0,0,0,1,0,0,0,1,0,0,3,0,2,29,1,0,4,1,513,0,2,0,1,8,0,0,2,0
 24-34,0,0,0.82,0,4.1,0,1.64,0.82,0,0,0,0,0,0,4.1,0.82,4.1,0,0,2.46,28.73,0,2.46,0.82,0,38.58,0,0,0,0,4.93,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,1.61,0,0.81,0,2.42,0.81,0.81,0.81,0,0,17.72,0,0,0.81,0,43.51,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,0.57,0,4.02,0,1.15,0.57,0,0.57,0.57,0,0.57,0.57,2.3,0,0,1.15,9.18,0,0,0,0,18.94,0,0,0,0,2.87,0,0,1.15,0
 60-70,0,0,0,0,0.98,0,3.93,0,0,0,0,1.96,0.98,0,3.93,0,2.94,0,0,0,10.8,0,0.98,0,0,39.26,0,0,0,0,4.91,0.98,0,0,0
 72-82,0,0,0,0,3.93,0,0,0,0,0.98,0,0,0,0,4.91,1.96,0.98,2.94,0,0,12.76,0,0,0,0,44.17,0,0,0,0,0,0,1.96,0,0.98
 84-94,0,0,0,0,4.25,0,3.19,1.06,0,1.06,1.06,1.06,0,0,4.25,4.25,2.12,0,1.06,0,5.31,0,4.25,0,0,124.26,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,9.84,1.09,0,2.19,0,1.09,0,0,0,0,17.49,2.19,2.19,2.19,0,2.19,5.46,0,6.56,0,0,146.44,0,0,0,0,0,2.19,2.19,0,0
108-118,0,0,0,0,16.09,0,0.77,2.3,0,1.53,0.77,0,0,1.53,6.89,3.06,4.6,2.3,0,0,3.06,0,6.13,0,0,114.89,0,0,0,0,0,3.83,0,0,0
120,0,0,0,0,11.76,0,0,3.92,0,0,0,0,0,0,7.84,0,1.96,1.96,0,0,9.8,0,1.96,1.96,0,88.19,0,0,0,0,0,0,0,1.96,0
