stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,935.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.52,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,165.5,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,18.4,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,0,0,0,18.88,15.73,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,83,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,24,2,0,1,2,2,0,0,0,0,0
 24-34,0,0,0,3.28,64.03,0.82,0,0,0,10.67,0,0.82,0.82,0,0,0,8.21,0.82,2.46,0,1.64,2.46,0,18.06,0,3.28,17.24,0,91.12,0,0,3.28,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,17.72,0.81,0,0.81,0,3.22,0,0,1.61,0.81,0,0,1.61,2.42,0,0,0,2.42,0,23.36,0,1.61,5.64,0,49.15,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0.57,21.23,0,0,4.02,0,4.02,0.57,0,0,0.57,0,0,2.3,2.3,1.15,0,1.15,1.72,0,18.94,0,2.3,4.59,0,66.56,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0.98,25.52,0,0,4.91,0,8.83,0.98,0.98,1.96,0,0,0,0.98,3.93,0,0,0,0.98,0,15.7,0,0,9.82,0,67.73,0,0,0.98,0,0.98,0.98,0,0,0,0
 72-82,0,0,0.98,0.98,51.05,1.96,0,4.91,0,12.76,0,0,9.82,0,0,0,3.93,7.85,0.98,0,3.93,1.96,0.98,8.83,0,0.98,7.85,0,104.06,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,66.91,2.12,1.06,4.25,0,22.3,0,3.19,15.93,0,0,0,19.12,6.37,0,1.06,3.19,5.31,0,11.68,0,6.37,8.5,0,252.76,0,0,1.06,0,0,7.43,0,0,0,0
 96-106,0,0,2.19,0,116.93,4.37,0,3.28,2.19,20.76,0,0,18.58,1.09,1.09,0,17.49,7.65,6.56,0,8.74,6.56,2.19,18.58,1.09,12.02,14.21,0,253.54,0,0,2.19,0,0,7.65,0,1.09,0,0
108-118,0,0,0,0,114.13,0,2.3,3.83,0.77,35.23,0,1.53,14.55,0,0,3.06,22.21,5.36,1.53,0,2.3,6.13,0,13.79,0,6.89,8.43,0,197.62,0,0,0.77,0,0,7.66,0.77,0,0.77,0.77
120,0,0,0,0,101.91,0,0,1.96,0,33.32,0,0,11.76,0,0,1.96,15.68,1.96,3.92,0,3.92,11.76,1.96,15.68,0,1.96,21.56,0,141.1,0,0,9.8,0,0,5.88,0,0,0,0
