stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,6,0,2,0,0,0,0,0,0,0,0,0,0,6,0,1,0,3,8,37,0,1,0,1,2,1,0,3,1,0,1,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0.82,0,0.82,4.1,1.64,6.57,0,0.82,8.21,0,0,0,0,2.46,0,0.82,0,0.82,2.46,0,0.82,0,2.46
 36-46,0,0,4.03,0,0,2.42,0,0,0,1.61,0,0,0,1.61,0,0.81,0,6.45,3.22,0,0.81,8.86,0,0.81,0,0,0.81,0,1.61,0,0,0.81,0,1.61,0,1.61
 48-58,0,0,1.72,0,0,0.57,0.57,1.15,0.57,0,0,0,0.57,1.72,0,0.57,0,10.9,7.46,0,0,4.59,0,0,0,0,0,0,0,0,0,0.57,0,1.15,0,0
 60-70,0,0,2.94,0,0,5.89,0,0,1.96,0.98,2.94,0,0,4.91,0,2.94,0.98,17.67,22.58,0.98,3.93,7.85,0,0,0,0.98,0,0,0,0,0,1.96,0,2.94,0,0
 72-82,0,0,4.91,0.98,0,4.91,0,0.98,0.98,17.67,4.91,0,0.98,2.94,0.98,2.94,1.96,17.67,51.05,2.94,5.89,20.61,0,0,0,0,0,0,3.93,0,0,0,1.96,9.82,0.98,0
 84-94,0,0,12.74,0,0,32.92,1.06,1.06,2.12,8.5,5.31,0,0,13.81,0,5.31,3.19,16.99,30.8,2.12,1.06,4.25,0,0,0,2.12,1.06,0,5.31,0,0,2.12,1.06,4.25,2.12,0
 96-106,0,0,7.65,0,1.09,27.32,0,0,4.37,12.02,19.67,0,0,10.93,0,6.56,10.93,27.32,45.9,2.19,4.37,22.95,0,0,2.19,3.28,1.09,0,6.56,0,0,0,2.19,7.65,1.09,2.19
108-118,0,0,12.26,0.77,0,46.72,0,3.06,3.83,8.43,27.57,0,1.53,6.89,0.77,6.89,13.79,28.34,44.43,0.77,4.6,16.09,0.77,0.77,0.77,0,0.77,0,9.96,1.53,0,2.3,0,8.43,0.77,0.77
120,0,0,23.52,1.96,1.96,17.64,0,0,1.96,11.76,45.08,0,1.96,13.72,3.92,5.88,19.6,15.68,35.28,0,3.92,9.8,1.96,1.96,1.96,1.96,3.92,0,7.84,0,0,0,0,3.92,1.96,0
