stage,axial,blastomeres,eye,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord
  3-4,26.36,263.56,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,1.64,0,4.1,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,5.64,0,0,0,0,0,0.81
 48-58,0,0,0.57,0.57,0,0.57,0,0.57,0,2.3,0,0,0,0,0,1.15
 60-70,0,0,1.96,1.96,0,0,0,3.93,0,8.83,0,1.96,0,0,0,2.94
 72-82,0,0,0.98,0,0,0,0,0.98,0,10.8,0,0.98,0,0,0,1.96
 84-94,0,0,3.19,1.06,0,0,0,1.06,0,5.31,1.06,1.06,0,0,0,1.06
 96-106,0,0,3.28,2.19,1.09,1.09,0,1.09,0,6.56,0,3.28,1.09,1.09,0,3.28
108-118,0,0,1.53,0.77,0,0,0.77,0.77,0,12.26,0,0.77,0,0,0.77,3.06
120,0,0,0,0,0,0,0,0,0,7.84,0,3.92,0,0,0,0
