stage,eye,fin.mesenchyme,glial,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,spinal.cord
  5-6,0,0,0,0,0,6.13,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,4,0,0,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,1.64
 36-46,0,0,0,0,0.81,11.28,0,0,0,0,2.42
 48-58,1.15,0,0,1.15,0,6.31,0,0,0,0,0
 60-70,3.93,0,0,0.98,0,12.76,0,0,0,0,0.98
 72-82,2.94,0,2.94,4.91,0.98,10.8,0.98,0,0,0,1.96
 84-94,1.06,1.06,1.06,3.19,0,1.06,0,0,0,0,0
 96-106,4.37,0,1.09,2.19,0,5.46,0,1.09,0,0,1.09
108-118,0,0,1.53,0.77,0.77,6.13,0,0,0,0.77,0.77
120,0,0,1.96,3.92,0,9.8,0,0,0,0,0
