stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,1,25,0,0,1,0,0,3,1,0,0,3,14,0,0,0,0,0
 24-34,0,0.82,8.21,1.64,0,3.28,0,0.82,0,0,0.82,0,0.82,0.82,4.1,0,0.82,0,0,4.93,0,0,6.57,97.68,0.82,2.46,1.64,0,0,10.67,0,0.82,0,0,27.09,0,0,3.28,0,0.82
 36-46,0,0,4.83,0.81,0,4.83,0,0,2.42,2.42,0.81,0,0.81,0,1.61,0,0,0,2.42,5.64,0,0,1.61,149.05,0.81,3.22,0,0,0,7.25,0,0,0,0,39.48,0,0,1.61,0,1.61
 48-58,0,0,2.3,1.15,0,25.25,0,2.3,0.57,7.46,0,0,0,0,0.57,0.57,1.15,0,0,12.05,0.57,0.57,1.15,125.66,0,1.72,0.57,0,0,2.87,0,0.57,0.57,0,24.1,0,0.57,1.15,0,0
 60-70,0,0.98,6.87,0.98,0,80.48,0.98,2.94,0.98,16.69,0.98,0,0,0.98,0.98,1.96,0,0.98,0,20.61,0,0,0.98,205.14,0.98,0.98,0,0,0,7.85,0,0,0.98,0,24.54,0,0,0,0.98,0.98
 72-82,0,1.96,6.87,8.83,0,99.15,1.96,0.98,0.98,7.85,2.94,0,0,3.93,0,0,0.98,0,0.98,21.6,0,0.98,0.98,180.63,0,0.98,0.98,0,0,2.94,0,0,0.98,0,14.72,0,0.98,1.96,0.98,0.98
 84-94,0,3.19,11.68,6.37,0,66.91,0,5.31,1.06,7.43,3.19,0,1.06,2.12,1.06,2.12,2.12,0,1.06,16.99,0,0,3.19,94.52,3.19,2.12,4.25,0,1.06,13.81,0,0,0,0,13.81,0,1.06,3.19,3.19,1.06
 96-106,0,1.09,3.28,3.28,0,45.9,0,1.09,1.09,5.46,0,0,0,3.28,1.09,1.09,1.09,0,1.09,13.11,1.09,0,0,62.29,0,0,4.37,0,1.09,9.84,0,0,0,0,2.19,1.09,0,2.19,0,1.09
108-118,0,0.77,7.66,4.6,0.77,33.7,0,1.53,0.77,12.26,4.6,0,0,4.6,3.06,0.77,0.77,1.53,0,12.26,0,0,3.83,88.85,0.77,0.77,4.6,0,0,5.36,0,0,0,0,2.3,0,0,3.06,0,1.53
120,0,1.96,9.8,7.84,0,37.24,1.96,1.96,0,11.76,5.88,0,0,0,7.84,1.96,1.96,1.96,3.92,7.84,0,0,1.96,160.7,3.92,0,7.84,0,0,5.88,0,0,1.96,0,5.88,0,0,1.96,0,1.96
