stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,1.64,0,0,0,0,3.28,0.82,0,0.82,0,0,0.82,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,0,1.61,9.67,0,0.81,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,0,2.3,0,0,0,1.72,0,0,0,0,0,0,0,0,1.15,0,0.57,10.33,0,0,0.57,0,0.57,0,0,0,0
 60-70,0.98,0,0,0,1.96,2.94,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0.98,0,0,16.69,0,0,0.98,0,0.98,0.98,0,0,0
 72-82,0,0.98,0.98,0,28.47,0.98,0,0,0.98,1.96,0.98,0,0,0,0,0,0,0,1.96,0,0.98,14.72,0,0,3.93,0,0,1.96,0,0,0
 84-94,0,0,0,1.06,43.54,3.19,0,0,0,1.06,7.43,0,0,0,0,0,1.06,0,3.19,0,0,31.86,0,0,2.12,0,0,1.06,0,0,0
 96-106,0,0,3.28,2.19,39.34,12.02,2.19,0,0,6.56,12.02,0,0,0,0,0,0,1.09,12.02,0,0,17.49,0,1.09,0,0,5.46,0,1.09,2.19,1.09
108-118,0,0,5.36,3.06,35.23,4.6,0.77,0.77,0,4.6,17.62,0,0,3.83,0,0,0.77,0.77,16.85,0.77,1.53,28.34,0,0,2.3,0,6.13,0,0,3.06,0.77
120,0,0,0,0,1.96,1.96,0,0,0,1.96,13.72,1.96,1.96,0,0,1.96,0,0,9.8,0,0,9.8,0,0,0,0,5.88,0,0,0,0
