stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,39.53,909.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,55.17,1170.76,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,104.2,0,0,0,12.26,6.13,0,0,0,0,0,0,0
  7-9,23.66,13.14,13.14,0,0,28.92,0,0,0,0,15.77,0,0,0,0,0,0,0,428.48,13.14,0,0,170.87,0,0,0,0,0,0,0,0
 10-12,0,15.73,15.73,0,0,37.76,0,0,0,0,9.44,0,0,0,0,0,0,0,462.6,25.18,0,0,144.76,0,0,15.73,0,0,3.15,0,0
 14-21,0,0,2,20,2,16,0,0,14,4,0,0,0,0,0,15,0,21,224,7,1,1,9,2,26,1,3,32,87,3,0
 24-34,0,0,0,3.28,0,0,0.82,0,2.46,0,0,0,0,0,0,7.39,0,3.28,89.47,0,2.46,0,0,1.64,0,0.82,0.82,2.46,25.45,1.64,0
 36-46,0,0,0,0.81,0.81,8.06,0,0,3.22,0,0,0,0,0,0,6.45,0,3.22,87.01,0.81,6.45,0,0,4.03,0,0.81,0,0,17.72,2.42,0
 48-58,0,0,0,0,0,12.05,0,0,5.74,0.57,0,0.57,0,0,0,8.61,0.57,1.72,76.89,0,3.44,0,0,1.72,0,0,0,0,19.51,1.15,0
 60-70,0,0,0.98,0,0,13.74,0,0,2.94,0,0,0,0,0.98,0.98,8.83,0,0,90.3,0,3.93,1.96,0,3.93,0,0,0.98,0,9.82,0.98,0
 72-82,0,0,0,1.96,0.98,8.83,0,0.98,7.85,0,0,0.98,0,0,0,7.85,0,2.94,48.1,0,4.91,0.98,0,1.96,0,0,0,0,5.89,0.98,0.98
 84-94,0,0,0,0,0,5.31,0,1.06,5.31,0,0,0,1.06,0,0,4.25,2.12,2.12,11.68,0,2.12,0,0,4.25,0,0,0,0,4.25,0,0
 96-106,0,0,0,0,1.09,5.46,1.09,0,5.46,0,0,0,0,0,0,6.56,0,0,16.39,0,8.74,1.09,0,1.09,0,0,0,0,6.56,3.28,0
108-118,0,0,0,0.77,0.77,2.3,0,0,1.53,0,0,0,0,0,0,6.13,0.77,0,15.32,0,0,0,0,2.3,0,0.77,0,0,0.77,1.53,0
120,0,0,0,1.96,0,0,1.96,0,3.92,0,0,0,0,0,0,7.84,1.96,0,25.48,0,3.92,0,0,3.92,0,0,0,0,1.96,1.96,0
