stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,neural
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,8.83,1.96,0,0.98,0,0,0,0,0,0,0,1.96
 84-94,0,0,6.37,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,26.23,0,0,1.09,1.09,1.09,0,0,1.09,0,0,1.09
108-118,0,0,26.81,0,0,0,6.13,0,2.3,0.77,0.77,1.53,0,2.3
120,0,0,27.44,0,1.96,0,5.88,0,0,0,0,0,0,0
