stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,10,0,0,0,0,0,1,0,0,4,0,0,0,0,0
 24-34,0,0,3.28,0,0,1.64,9.03,0,0,0,0,0,0,0.82,0,0,0,0,22.98,0,2.46,18.06,0,0,0,0,0,0.82,0,0,8.21,0,0,0.82,0,0
 36-46,0,0,1.61,0,0,3.22,0.81,1.61,0,0,0,0,0,0,0,0,0,0,75.73,0,8.86,29,0,0,0.81,0,0,0,0.81,0,6.45,0,0,2.42,0,0
 48-58,0,0,3.44,0.57,0,10.9,1.72,3.44,0,0,0,0.57,0,0,0.57,0,0,0,160.09,0,14.35,33.28,0,0.57,0,0,0,0,0,0,5.74,0,0,1.15,0,0
 60-70,0,0,7.85,0,0,29.45,2.94,7.85,3.93,0,0,0,0,0,0,0,0,0.98,215.93,0,9.82,32.39,0,0.98,0,0,0,0.98,0,0,1.96,0,4.91,3.93,0,0
 72-82,0,0,9.82,0,0.98,24.54,3.93,7.85,3.93,0,0,1.96,0,0,0,0.98,0,0.98,383.83,0.98,17.67,43.19,0,0,0,0,0,0,0,0,4.91,0.98,3.93,10.8,1.96,0
 84-94,0,0,13.81,1.06,0,20.18,2.12,4.25,1.06,1.06,0,1.06,0,3.19,0,0,0,0,227.28,3.19,6.37,16.99,0,0,0,0,0,1.06,0,0,0,0,3.19,5.31,1.06,0
 96-106,0,1.09,18.58,0,1.09,12.02,3.28,7.65,6.56,1.09,0,0,2.19,2.19,1.09,0,0,0,252.45,3.28,9.84,29.51,0,0,0,0,1.09,0,0,1.09,0,0,5.46,7.65,4.37,1.09
108-118,0,0,24.51,0.77,0,12.26,3.06,3.06,5.36,3.83,0,0,0,3.06,0,0,0.77,0,209.11,3.06,9.96,19.15,0,0,0.77,0,0,0.77,0,0,1.53,0.77,1.53,6.13,0,0
120,0,0,37.24,0,0,9.8,5.88,7.84,3.92,0,0,0,0,0,0,0,1.96,0,205.78,3.92,15.68,21.56,0,0,0,0,0,0,0,0,0,0,0,7.84,3.92,0
