stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,6,0,0,7,0,0,0,4,0,0,0,1,0,0,0,0,6,0,0,2,116,3,1,0,0,0,0,4,0,1,21,0,0,0,0,0
 24-34,0,0,0.82,16.42,0.82,0,82.91,0,0,0,7.39,0.82,0,0.82,1.64,0,4.1,0,0,33.66,2.46,0,9.03,747.8,2.46,2.46,8.21,0,0.82,1.64,0.82,3.28,0.82,102.61,0,0,1.64,0,0
 36-46,0,1.61,0,9.67,0.81,0,234.45,0,0.81,0,55.59,0.81,0.81,0,1.61,0,4.83,2.42,0.81,94.26,0,0,10.47,1509.02,3.22,8.06,8.06,0,0,0.81,0,2.42,0,261.84,0,0,5.64,0,0.81
 48-58,0,0,0,9.75,0,0,388.47,0,1.15,3.44,91.23,0.57,2.3,0.57,0,1.15,2.3,1.15,1.72,129.11,1.15,3.44,11.48,1182.61,3.44,4.59,6.31,0,0,0.57,0,0.57,0,214.03,0,0.57,4.02,0,0.57
 60-70,0,1.96,0,10.8,0,0,525.11,0,2.94,3.93,67.73,1.96,0.98,1.96,1.96,3.93,3.93,0.98,0.98,189.43,0.98,1.96,21.59,902.02,5.89,6.87,4.91,0,0,0,0,4.91,0,130.54,0.98,0.98,7.85,1.96,4.91
 72-82,0,5.89,0,16.69,2.94,0,453.53,0.98,0,4.91,108.96,2.94,4.91,0.98,3.93,1.96,5.89,2.94,0,302.35,2.94,4.91,26.5,676.37,2.94,12.76,8.83,0,1.96,1.96,0,1.96,0,59.88,0.98,9.82,7.85,2.94,6.87
 84-94,0,1.06,0,35.05,1.06,0,305.87,3.19,11.68,6.37,98.77,5.31,1.06,7.43,5.31,7.43,5.31,1.06,1.06,236.83,0,3.19,18.05,382.33,6.37,12.74,21.24,0,1.06,0,0,6.37,0,47.79,3.19,10.62,7.43,6.37,4.25
 96-106,0,0,0,39.34,2.19,1.09,214.2,2.19,1.09,6.56,98.36,10.93,4.37,7.65,3.28,7.65,14.21,2.19,0,228.4,1.09,4.37,19.67,286.33,3.28,25.14,30.6,0,1.09,1.09,0,1.09,0,17.49,4.37,3.28,15.3,5.46,4.37
108-118,0,3.06,0,34.47,2.3,0,175.41,1.53,2.3,6.13,88.09,8.43,2.3,11.49,6.89,10.72,8.43,4.6,2.3,222.9,0.77,7.66,23.74,319.41,6.13,13.79,19.15,0,0.77,5.36,0,4.6,0,6.89,6.89,5.36,11.49,5.36,3.83
120,0,0,0,35.28,3.92,0,127.39,3.92,3.92,5.88,54.87,5.88,1.96,5.88,0,1.96,0,7.84,0,133.27,0,0,23.52,266.53,9.8,9.8,27.44,0,0,1.96,0,1.96,0,19.6,1.96,0,1.96,5.88,1.96
