stage,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,2,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,24.63,3.28,0,2.46,0,0,14.78,0,0,0
 36-46,0,0,0,1.61,0,0.81,0,2.42,0,0,0,0,0,0,0,0.81,0,0,116.82,7.25,0,0,0,0,27.39,0,0,0
 48-58,0,0.57,0,6.89,0.57,0,0,0.57,0,0.57,0,0,0,0,0,4.02,0,1.15,107.3,6.89,0,1.15,0,0,25.25,0,0,0.57
 60-70,0,0,0,22.58,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,210.05,5.89,0,0,0,0,43.19,0,0.98,0
 72-82,0,1.96,0,35.34,0,0,0.98,7.85,0.98,0,0.98,0.98,0.98,0,0,2.94,0,0,279.77,11.78,0,0,0,0,31.41,0,0.98,0.98
 84-94,0,1.06,0,36.11,0,0,0,3.19,1.06,0,0,0,0,0,0,0,0,0,166.74,2.12,0,1.06,0,0,18.05,0,1.06,0
 96-106,0,1.09,0,43.71,0,2.19,0,5.46,0,0,1.09,1.09,1.09,1.09,0,4.37,0,0,202.18,12.02,0,0,0,0,7.65,0,0,0
108-118,0,2.3,0.77,27.57,0,0,0,7.66,0,0,0,1.53,0.77,0.77,0.77,0,0.77,0.77,229.79,4.6,0,0,0,0,11.49,1.53,0.77,0
120,0,3.92,0,27.44,0,0,0,7.84,0,0,0,0,0,0,1.96,1.96,1.96,0,170.5,5.88,0,0,1.96,0,19.6,0,0,0
