stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,2,0,0,0,0,0,1,0,6,0,0,10,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,1,97,28,0,0,0,0,0
 24-34,0,0.82,0,9.03,0,0,13.13,0,0.82,0,1.64,0,1.64,0.82,1.64,32.01,0,0,0,0,7.39,2.46,0,4.93,199.47,0.82,1.64,2.46,0,0,1.64,0,0,128.05,90.29,0,0,23.8,0,0
 36-46,0,0,0,6.45,0,0,35.45,0,0.81,0,3.22,0,0.81,3.22,8.86,16.11,4.03,0.81,0.81,0.81,10.47,2.42,0,4.03,557.52,0,3.22,5.64,0,0,0.81,0,0,92.65,184.5,0,0,50.76,0,0
 48-58,0,1.15,0,6.31,0,0,109.6,0,0.57,0.57,10.33,0,0.57,1.72,6.31,5.74,6.89,1.15,0,1.15,23.53,1.72,0,4.02,818.25,0,4.59,5.74,0,0,0,0,0.57,59.1,151.48,0,0,51.07,0,1.15
 60-70,0,1.96,0,6.87,0,0,334.7,0,1.96,1.96,23.56,0.98,1.96,2.94,7.85,8.83,22.58,0.98,0,0,42.21,1.96,0,3.93,1444.8,1.96,3.93,9.82,0,0.98,1.96,0,0,10.8,210.05,0,11.78,41.22,3.93,0.98
 72-82,0,2.94,0,11.78,2.94,0.98,748.03,0.98,2.94,2.94,53.01,3.93,0.98,0.98,7.85,11.78,28.47,2.94,0.98,0,71.66,3.93,3.93,8.83,1630.54,0.98,4.91,18.65,0,0,2.94,0,0.98,0.98,126.63,4.91,29.45,66.75,2.94,5.89
 84-94,0,1.06,0,21.24,1.06,0,515.09,1.06,6.37,0,35.05,7.43,1.06,1.06,12.74,12.74,38.23,3.19,0,0,50.98,5.31,3.19,4.25,831.58,1.06,2.12,24.43,0,0,7.43,0,0,4.25,77.53,3.19,39.3,58.41,15.93,0
 96-106,0,2.19,0,18.58,5.46,0,451.35,1.09,1.09,2.19,37.16,4.37,0,4.37,16.39,10.93,39.34,4.37,1.09,0,38.25,1.09,6.56,0,740.95,0,9.84,37.16,0,1.09,7.65,1.09,0,2.19,27.32,6.56,33.88,68.85,13.11,1.09
108-118,0,0.77,0,24.51,2.3,1.53,333.19,0,3.06,0.77,36.77,4.6,0,0.77,16.85,10.72,46.72,3.06,0,0,20.68,3.06,0.77,2.3,768.26,0.77,5.36,21.45,0,1.53,4.6,0,0,0,25.28,4.6,42.13,46.72,5.36,1.53
120,0,0,0,25.48,3.92,0,278.29,0,3.92,1.96,37.24,9.8,0,3.92,19.6,9.8,19.6,1.96,0,0,27.44,1.96,1.96,1.96,1001.45,1.96,11.76,17.64,0,0,1.96,0,0,0,35.28,3.92,25.48,48.99,9.8,0
