stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,496.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,10.51,0,0,34.17,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,147.21,2.63,0,0,70.98,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,3.15,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.17,31.47,0,0,103.85,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,4,3,38,4,18,0,0,0,13,0,0,0,1,2,0,1,0,0,5,0,0,4,640,0,38,16,0,0,1,7,0,0,5,429,0,0,2,0,0
 24-34,0,0,4.93,1.64,19.7,4.93,211.78,0,2.46,0.82,21.34,0,0,1.64,1.64,1.64,0,12.31,0,0,17.24,0.82,0,8.21,2693.23,2.46,89.47,16.42,0,4.1,0,0,0,0.82,2.46,786.38,0,0,3.28,0,0.82
 36-46,0,0,1.61,0,13.7,0.81,958.75,0,1.61,0.81,38.67,0,0,3.22,0.81,0.81,0,2.42,0,0,20.95,0,0,4.83,4164.5,4.03,61.23,9.67,0,4.83,0,0,1.61,0.81,0,1170.64,0,0,2.42,0,0.81
 48-58,0.57,0,0.57,0,17.21,2.3,1432.22,0,1.15,1.15,97.55,1.72,0.57,4.02,0,1.15,0,2.87,0,0,25.25,0,1.72,5.74,3389.47,1.72,30.99,9.18,0,2.3,0,0,0.57,0,0,906.04,0,0,1.72,0,4.59
 60-70,0,0,2.94,0,13.74,9.82,1354.5,0.98,0.98,0,89.32,1.96,0,2.94,1.96,0.98,0,3.93,0.98,0.98,33.37,0,1.96,4.91,2451.84,0.98,11.78,14.72,0,2.94,0,0,1.96,0.98,0,381.81,2.94,0,1.96,0,4.91
 72-82,0,0,10.8,0,28.47,20.61,1013.08,0.98,0,4.91,88.35,7.85,0,2.94,6.87,0.98,0.98,4.91,0.98,0.98,53.01,0,1.96,6.87,2395.25,0.98,33.38,21.6,0,4.91,0.98,0,1.96,0,0,242.47,13.74,0.98,5.89,1.96,3.93
 84-94,0,0,5.31,0,46.73,14.87,762.54,1.06,1.06,0,84.96,10.62,0,1.06,4.25,2.12,2.12,10.62,0,0,46.73,0,3.19,2.12,1382.77,0,14.87,30.8,0,15.93,0,0,1.06,0,0,165.68,13.81,1.06,6.37,0,3.19
 96-106,0,0,4.37,0,46.99,27.32,551.89,1.09,0,0,61.2,8.74,0,1.09,4.37,1.09,0,8.74,2.19,0,34.97,0,4.37,7.65,1120.17,0,16.39,39.34,0,10.93,0,0,0,0,0,61.2,16.39,4.37,6.56,3.28,6.56
108-118,0,0,3.83,0,23.74,11.49,504.77,0,1.53,0.77,49.02,5.36,0,0.77,3.06,0.77,1.53,9.19,0.77,0,19.92,1.53,4.6,2.3,1377.2,2.3,19.15,22.21,0,2.3,0,0,1.53,0,0,32.94,15.32,0.77,2.3,0,0
120,0,0,1.96,0,35.28,3.92,437.03,1.96,5.88,5.88,47.03,7.84,0,0,5.88,1.96,0,9.8,9.8,0,29.4,0,3.92,9.8,1348.33,3.92,13.72,19.6,0,3.92,0,0,7.84,1.96,0,37.24,5.88,0,1.96,0,0
