stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,9,0,0,0,0,0,11,1,1,0,0,1,4,0,0,0,0
 24-34,0,0,0,0,4.1,0,4.1,0,0,0,0.82,0,0,0.82,0,0.82,0,0,0,12.31,0.82,0,3.28,10.67,0,0.82,0,0,0,44.33,0,0,0,0,1.64,3.28,0,0,0,0
 36-46,0,0,0,0,6.45,0,4.83,0,0,0.81,0,0.81,0,0,0,0,0.81,0,0,14.5,0.81,0.81,2.42,8.86,0,0,0,0,0,45.92,0,0,0,0.81,0,2.42,0,0,0,0
 48-58,0,0,0,0,9.18,0,29.26,0.57,1.15,2.3,0.57,0.57,0,0,0,0.57,0,1.15,0,9.18,1.72,0,4.02,9.75,0,0.57,0.57,0,0,26.97,0,0,0,2.87,0,5.16,0,0,0,0
 60-70,0,0,0,0,10.8,0,165.88,0.98,0.98,1.96,0,0,0,0,0,0,0,1.96,0,12.76,5.89,0.98,0.98,10.8,0.98,0,1.96,0,0,23.56,0,0,0,5.89,0,1.96,0,0,0,0
 72-82,0,0,0,0,15.71,0,160.01,0,1.96,1.96,0.98,4.91,0,0,0,0.98,0,12.76,0.98,22.58,9.82,0,1.96,20.61,0,0.98,5.89,0,0,30.43,0,0,0,6.87,0,2.94,0,0,0,0
 84-94,0,0,2.12,0,26.55,0,150.81,0,2.12,3.19,3.19,7.43,0,1.06,0,2.12,0,6.37,0,22.3,7.43,1.06,3.19,14.87,0,0,8.5,0,2.12,84.96,0,0,1.06,13.81,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,27.32,0,122.4,0,0,1.09,1.09,12.02,0,1.09,1.09,3.28,1.09,17.49,0,18.58,5.46,0,0,18.58,0,2.19,8.74,0,0,69.94,0,0,1.09,9.84,0,2.19,1.09,0,0,1.09
108-118,0,0,0.77,0.77,38.3,0.77,96.51,0,3.83,3.83,1.53,13.79,0,0,0,4.6,2.3,13.79,0,16.85,3.83,0,0,16.85,1.53,2.3,13.02,0,0,45.19,0,0,0,11.49,0,0,1.53,1.53,0.77,0
120,0,0,0,0,39.2,0,82.31,0,0,1.96,0,9.8,0,0,0,1.96,0,1.96,0,13.72,3.92,0,1.96,19.6,0,0,7.84,0,0,56.83,0,0,0,5.88,0,1.96,0,0,0,0
