stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,1,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,1.64,0.82,0,0,0,0,0,0,27.09,0,4.93,0.82,0,0,0,12.31,0,0,0,0
 36-46,0,0.81,0,0,5.64,0.81,0,0.81,2.42,0,0,0,0,0,0,0,62.84,0,9.67,0,0,0,0,16.92,0,0,0,0
 48-58,0,0,0,0,12.62,0,0,0,0.57,0,0,0,0,1.72,0,1.15,84.92,0,2.87,0,0,0,0.57,24.67,0,0.57,0,0
 60-70,0,0,0.98,0,47.11,0.98,0,0,1.96,0,0.98,0,0,3.93,0,0,94.23,0,3.93,0.98,0,0.98,0.98,22.58,0,0.98,0,0
 72-82,0,0,1.96,0,60.86,0,0,1.96,7.85,0.98,0,0,0,7.85,0.98,0.98,96.2,0,11.78,0,0,0,0,17.67,0.98,0.98,0.98,0.98
 84-94,0,0,2.12,1.06,33.99,2.12,0,0,2.12,0,0,0,0,3.19,1.06,0,45.67,0,6.37,3.19,0,0,1.06,5.31,0,0,0,0
 96-106,0,0,0,0,46.99,2.19,0,0,7.65,3.28,0,1.09,1.09,6.56,0,0,41.53,0,4.37,2.19,0,1.09,0,3.28,1.09,2.19,3.28,0
108-118,0,0,1.53,0,43.66,1.53,0.77,0,3.06,0,0,0,0,1.53,0.77,0.77,58.21,0,2.3,2.3,0.77,1.53,0,3.83,0,1.53,0,0.77
120,0,0,0,0,43.12,0,0,1.96,3.92,0,0,0,1.96,3.92,0,1.96,74.47,1.96,3.92,1.96,0,0,0,1.96,0,1.96,1.96,0
