stage,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,muscle,neural,spinal.cord,vasculature
  7-9,0,0,2.63,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,4.93,0.82,0
 36-46,0,0,4.83,0,0,0,0,0,13.7,3.22,0.81
 48-58,0,0,2.3,0,0,0,0,0.57,11.48,2.3,0
 60-70,0,0,6.87,0.98,0,0,0,0,14.72,0.98,1.96
 72-82,0,0,0.98,0,0,8.83,0,0,2.94,0,3.93
 84-94,0,1.06,2.12,0,0,1.06,1.06,0,2.12,1.06,4.25
 96-106,0,0,0,1.09,0,7.65,1.09,0,0,0,3.28
108-118,0,0,0,0,0.77,6.89,0.77,0,5.36,0,3.06
120,1.96,0,0,0,0,0,0,0,3.92,0,3.92
