stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,5.26,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.52,7.89,0,0,65.72,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,25.18,0,0,12.59,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,166.79,9.44,0,0,56.65,0,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,0,6,1,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,3,41,1,0,1,0,0,0,2,2,3,14,0,0,0,0,0
 24-34,0,0,0,1.64,2.46,0,9.03,0,0,0.82,0.82,0,0,0,1.64,0,0,0,8.21,0,0,3.28,82.09,0,0.82,0,0,0.82,0,0,0.82,0.82,22.16,0,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,11.28,0,0,4.83,0,0,0,0,0,0,0,0,6.45,0,0,4.03,58.01,0,0.81,0.81,0,2.42,0,0,0,0,15.31,0,0,1.61,0,0
 48-58,0,0,0,0,1.15,0,19.51,0,0,4.59,0,0,0,0.57,0,0.57,0,0,11.48,0,0,1.72,40.74,0.57,0,0,0,1.15,0,0,0,0,11.48,0,0,1.15,0,0
 60-70,0,0,0,0,1.96,0,22.58,0,0.98,10.8,0,0,0.98,0,0,0,0,0,9.82,0,0,1.96,36.32,0,1.96,0.98,0,0,0,0,0,0,8.83,0,0,0,0,0
 72-82,0,0,0,0,0.98,1.96,19.63,0,0,6.87,0,0,0.98,3.93,0.98,0,0,0,15.71,0,0.98,0.98,34.36,0,0,1.96,0,1.96,0,0,0,0,3.93,0,0,1.96,0.98,0
 84-94,0,0,0,0,1.06,2.12,21.24,0,0,4.25,1.06,0,0,1.06,1.06,0,0,1.06,15.93,0,0,1.06,23.36,0,1.06,0,0,3.19,0,0,1.06,0,2.12,1.06,0,2.12,0,0
 96-106,0,0,0,0,2.19,2.19,9.84,1.09,1.09,5.46,0,0,0,2.19,0,0,2.19,1.09,12.02,1.09,0,0,15.3,0,0,0,0,5.46,0,0,0,0,2.19,0,2.19,1.09,0,0
108-118,0,0,0,0,3.06,0,12.26,0,0,2.3,0.77,0,0,0,0.77,0.77,0,0,5.36,0.77,3.06,0,26.81,0.77,0.77,1.53,0,1.53,0,0,0,0,1.53,0.77,0,1.53,0,0.77
120,0,0,0,0,1.96,0,5.88,0,0,3.92,0,0,0,0,0,0,0,0,3.92,0,0,1.96,17.64,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0
