stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,13,0,0,0,0,0
 24-34,0,1.64,0.82,0.82,0,2.46,2.46,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0,1.64,142.83,1.64,0,0,0,0,0,0,47.61,0,0,0,0,0
 36-46,0,0.81,0,1.61,0,6.45,0.81,0,0,0,0.81,0,0,0,0,0,0,8.06,0.81,0,1.61,333.55,0,0,0,0,0,0,0,53.98,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,34.43,4.59,1.15,2.87,0,0,0,0,0,0.57,0,0.57,21.8,0,0.57,0.57,359.2,0,0,0,0,0.57,0,0,44.76,0,0,0.57,0,1.15
 60-70,0,0,0,0.98,0,101.1,11.78,0,5.89,0,0,0,0,0,0,0,0,40.24,0,0,0.98,716.51,0,0,0,0,0,0,0,76.56,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,203.2,4.91,0,16.69,0.98,0.98,0.98,0,0.98,0,0,0,82.46,0,2.94,0,967.92,0,0,0.98,0,0,0,0,58.9,0.98,2.94,1.96,1.96,0
 84-94,0,3.19,0,6.37,0,140.19,26.55,0,18.05,2.12,2.12,0,0,0,0,0,0,38.23,0,1.06,0,531.02,0,0,4.25,0,1.06,0,0,29.74,0,2.12,1.06,1.06,0
 96-106,0,3.28,0,7.65,1.09,149.72,17.49,0,29.51,3.28,4.37,2.19,0,1.09,0,1.09,0,41.53,0,0,1.09,511.45,0,0,3.28,2.19,0,0,1.09,20.76,0,0,2.19,4.37,0
108-118,0,0,0,6.13,0.77,147.06,26.04,0.77,25.28,2.3,3.83,0,0,1.53,0.77,0.77,0,26.04,0.77,0,0,597.45,0,0.77,2.3,2.3,0.77,0,0,16.85,0.77,0,4.6,0,0
120,0,0,0,1.96,1.96,99.95,21.56,3.92,39.2,7.84,0,0,0,0,0,0,0,23.52,0,0,0,599.69,1.96,1.96,1.96,1.96,0,0,0,25.48,1.96,0,1.96,0,0
