stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,taste,xanthophores
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,24.52,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,10.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0.82,2.46,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,4.83,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,1.96,0,0,0.98,0,0,13.74,0,0,0,0,0,0,0.98
 84-94,0,0,1.06,0,0,1.06,0,0,0,0,1.06,0,0,0,4.25,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,1.09,2.19,0,0,0,0,0,6.56,1.09,1.09,0,0,0,0,0
108-118,0,0,1.53,0,2.3,0,0,0,1.53,0.77,0,0,1.53,0,3.83,0,0,0,0,0,0,0
120,0,0,1.96,0,1.96,0,0,0,3.92,0,0,0,0,0,5.88,0,0,0,0,0,0,0
