stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,1,2,0,0
 24-34,0,0,0,0.82,0,0,4.1,0,0.82,0,0,0,0,0,0,4.1,0,0,0.82,13.95,0,1.64,0,0,0.82,1.64,0,0
 36-46,0,0,0.81,0,0,0,12.09,0,0,0.81,0,0,0,0,0,0.81,0,0,0.81,26.59,0,1.61,0,0,0.81,2.42,0,0
 48-58,0,0,0,0,0,0,14.92,0,0,0,0.57,0,0,0,0,1.15,0,0.57,0,24.67,0.57,1.15,0,0,0,4.59,0,0
 60-70,0,0,0,0.98,0,0,13.74,0,0.98,0.98,0.98,0,0,0,0,2.94,0,0,0,14.72,0,0.98,0,0,0,3.93,0,0
 72-82,0,0,0,0.98,0,0,22.58,1.96,0,0,1.96,0,0,0.98,0,0.98,0,0,0.98,33.38,0,4.91,0,0.98,0.98,1.96,0,0
 84-94,0,0,0,2.12,0,0,9.56,1.06,0,0,0,0,0,0,0,1.06,0,0,0,21.24,0,3.19,0,0,2.12,0,1.06,0
 96-106,0,0,0,1.09,1.09,0,10.93,0,0,0,0,1.09,0,0,0,3.28,0,1.09,0,20.76,0,4.37,0,0,0,0,1.09,1.09
108-118,0,0,0,0,0,0.77,4.6,0,0,0,0.77,0.77,0,0,0.77,4.6,0.77,0,0.77,18.38,0,4.6,0,0,0,0,0.77,0
120,0,0,0,0,0,0,11.76,0,0,0,0,0,1.96,0,0,1.96,0,0,1.96,37.24,1.96,5.88,0,0,0,1.96,0,0
