stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,gut,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,otic,periderm,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0.82,0,0.82,0.82,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0.57,0,0,6.31,0,0,0,0,0,1.15,0,0.57,0
 60-70,0,0,0,0.98,0.98,0,8.83,0,0.98,0,0,0,3.93,0,6.87,0
 72-82,0,0,0,0,0,0.98,16.69,0,0,0,0.98,0,0,0,18.65,0
 84-94,0,1.06,0,0,0,1.06,11.68,1.06,0,0,0,0,0,0,22.3,0
 96-106,0,0,1.09,1.09,1.09,1.09,19.67,0,0,0,4.37,0,2.19,1.09,65.57,1.09
108-118,0,1.53,0,0.77,1.53,4.6,7.66,0.77,0.77,0,0.77,0,0.77,0.77,26.04,0
120,0,0,0,0,1.96,1.96,5.88,0,0,0,0,0,0,0,48.99,0
