stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,pgc,slow_muscle,somites,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,37,0,1,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,2.46,0.82,0,3.28,0,0.82,0
 36-46,0,0,0.81,0.81,0,0,0,0,0.81,0,0,0,8.06,0,0.81,16.92,0,0.81,0.81,0.81,0,0
 48-58,0,0.57,0,5.16,0.57,0,1.15,0,1.15,0,0,0,25.82,0,1.72,29.84,0,0,0,0,0.57,0
 60-70,0,0,0.98,5.89,1.96,0.98,0.98,0,0,0,0,0,26.5,0.98,0,58.89,0,0,0,0,3.93,0
 72-82,0,0,0.98,5.89,0,0,3.93,0,0,0,2.94,0,35.34,0,0,73.62,0,0,0,0,0.98,0
 84-94,0,4.25,0,8.5,0,0,4.25,0,0,0,1.06,0,25.49,0,1.06,32.92,0,0,0,0,1.06,0
 96-106,0,3.28,0,1.09,1.09,0,1.09,1.09,1.09,0,3.28,0,15.3,0,0,34.97,0,0,0,0,1.09,1.09
108-118,0,0.77,0.77,3.06,1.53,0,3.06,0,0,0,1.53,0.77,4.6,0,0,29.11,1.53,0,0,0,2.3,0
120,0,1.96,0,1.96,0,0,1.96,0,0,1.96,1.96,0,7.84,0,0,27.44,0,0,0,0,1.96,0
