stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,5,0,0,2,0
 24-34,0,1.64,0,0,0,0,0,0.82,0,0.82,0,0,0,31.19,0,0,23.8,5.75,0,0,0,1.64,0.82,0.82,4.1,0,19.7,0
 36-46,0,0.81,0,0,0,0,0,1.61,0.81,0,0,0,0,128.1,0,0,15.31,7.25,0,0,0,0.81,0,0,1.61,0,12.89,0
 48-58,0,0,4.02,0,0,0.57,0,1.15,0,0,0,0,0,125.09,0,0.57,13.2,4.59,0.57,0,0,1.15,0,0,2.3,0,14.92,0
 60-70,0,0,6.87,0,0.98,1.96,0,0,0,0.98,0.98,0,0.98,119.75,0.98,0,17.67,8.83,0,0,0,0,0,0,0.98,0,13.74,0
 72-82,0.98,0.98,14.72,0,1.96,0.98,0.98,4.91,0,0,0,0,0,197.31,0,0,23.56,16.69,0,0,0.98,0,0,0,0.98,2.94,15.71,0
 84-94,0,0,14.87,0,2.12,2.12,0,0,0,3.19,0,0,0,158.24,0,1.06,18.05,9.56,0,1.06,0,1.06,0,0,0,0,13.81,1.06
 96-106,2.19,2.19,15.3,0,0,0,0,1.09,1.09,6.56,0,1.09,0,172.67,0,2.19,33.88,16.39,0,0,0,2.19,0,0,1.09,0,15.3,1.09
108-118,1.53,0.77,8.43,0,3.06,0,0,0.77,1.53,5.36,0,0,0,160.85,0,0.77,20.68,13.79,0,0,0.77,0,0,0,0,0,6.89,0.77
120,0,1.96,5.88,1.96,0,0,1.96,0,1.96,1.96,0,0,0,143.06,0,0,35.28,15.68,1.96,0,0,0,0,0,0,0,13.72,0
