stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,mesenchyme,neural,paraxial_mesoderm,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,2.63,5.26,0
 10-12,0,3.15,0,0,0,0,0,0,6.29,3.15,0
 14-21,0,0,6,0,0,1,0,1,4,0,2
 24-34,0,0.82,0.82,0,0.82,0,0,0.82,7.39,0,1.64
 36-46,0,0,0,0,0,0.81,0,1.61,11.28,0,1.61
 48-58,0,0,0,0,1.15,1.72,0,0.57,5.16,0,1.15
 60-70,0,0,0,0,0.98,0.98,0,0.98,0.98,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,2.12,1.06,0,1.06,0,0,0
 96-106,0,0,0,1.09,0,1.09,0,0,1.09,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0
