stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,158.14,2978.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0
  5-6,116.46,1495.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,13.14,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,141.95,28.92,0,0,49.95,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,18.88,0,0,0,3.15,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,163.64,28.32,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,23,4,0,8,0,1,0,0,1,3,1,0,0,0,0,0,0,4,0,0,3,56,5,1,0,0,0,6,0,4,0,1,25,0,0,2,0,0
 24-34,0,0,0,0.82,13.95,4.1,0,23.8,0,2.46,0.82,0.82,0,1.64,1.64,4.93,4.93,0,2.46,0.82,1.64,9.85,4.93,0,5.75,96.04,0.82,1.64,0.82,0,0,27.09,0,1.64,0,0.82,18.88,0,0,13.13,0,0.82
 36-46,0,0,0,0,4.03,0.81,0,34.64,0,1.61,0.81,2.42,0,0,0,4.03,0,0,1.61,0.81,0,15.31,3.22,0,4.03,78.96,2.42,2.42,0.81,0,0,23.36,0,0.81,0,0,16.11,0,0,7.25,0,3.22
 48-58,0,0,0,0,4.02,0.57,0,36.72,0,0.57,2.3,8.61,0,8.03,1.72,4.59,1.72,0,0,0,1.15,20.66,3.44,0.57,4.02,37.3,1.72,1.72,2.3,0,0,18.94,0,0.57,0.57,0,13.77,0,0.57,2.3,0,2.87
 60-70,0,0,0.98,0,6.87,3.93,0,72.63,0.98,0.98,1.96,21.59,1.96,5.89,1.96,6.87,0.98,0,4.91,0,1.96,54.97,7.85,2.94,2.94,44.17,0,2.94,4.91,0,0,21.59,0,0,0.98,0,0.98,0,0,4.91,0,1.96
 72-82,0,0,2.94,0,9.82,9.82,0,61.84,0,0.98,0.98,27.49,9.82,3.93,2.94,17.67,1.96,0,4.91,1.96,0,71.66,10.8,6.87,5.89,59.88,1.96,7.85,4.91,0,0.98,31.41,0,0,0.98,0,8.83,1.96,1.96,9.82,4.91,2.94
 84-94,0,0,5.31,0,16.99,9.56,0,49.92,0,3.19,1.06,16.99,14.87,0,1.06,25.49,6.37,1.06,1.06,1.06,1.06,47.79,11.68,0,2.12,42.48,5.31,2.12,7.43,0,0,71.16,0,4.25,0,0,1.06,2.12,2.12,9.56,2.12,3.19
 96-106,0,0,1.09,0,28.41,28.41,0,48.09,1.09,4.37,2.19,21.86,32.79,1.09,1.09,30.6,7.65,1.09,6.56,1.09,1.09,54.64,4.37,2.19,3.28,61.2,4.37,10.93,9.84,0,1.09,65.57,0,2.19,0,0,4.37,2.19,1.09,12.02,2.19,3.28
108-118,0,0,3.06,0.77,26.04,8.43,3.83,52.09,2.3,6.13,2.3,28.34,27.57,0,0,30.64,7.66,3.06,6.89,5.36,1.53,42.13,7.66,3.06,1.53,39.06,3.06,7.66,3.83,0,0.77,45.96,0,2.3,0,0,3.83,7.66,3.06,9.19,1.53,2.3
120,0,0,0,0,31.36,11.76,1.96,27.44,1.96,7.84,1.96,17.64,39.2,0,0,25.48,1.96,0,5.88,3.92,0,41.16,3.92,0,1.96,48.99,1.96,9.8,1.96,0,0,43.12,0,0,0,0,5.88,0,1.96,13.72,1.96,7.84
