stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.29,5.26,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.37,3.15,0,0,69.23,0,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,2,30,7,0,63,0,0,0,4,1,0,0,0,0,0,3,1,11,0,0,9,447,61,1,4,11,0,2,1,28,3,0,21,121,0,2,0,0
 24-34,0,0,0.82,2.46,19.7,0.82,0,159.25,0.82,0.82,0,9.85,2.46,3.28,0,0.82,0,0.82,11.49,2.46,43.51,0,1.64,10.67,542.59,126.41,9.03,6.57,0,0.82,0.82,0,0,22.98,0,9.03,106.71,0,4.93,0,0
 36-46,0,0,0,0,9.67,0.81,0,154.69,1.61,0,0.81,15.31,0.81,3.22,0,0,0.81,0,4.83,0.81,34.64,0,0,5.64,338.38,108.77,7.25,3.22,0,0.81,1.61,0,0,31.42,0,0,52.37,0,1.61,0,0
 48-58,0,0,0,0.57,6.89,0,0,105.01,0,0,0,13.2,2.87,3.44,0,0.57,0,0.57,1.72,0.57,29.84,0,2.3,7.46,171.57,57.38,2.3,4.02,0,0,0,0,0.57,19.51,0.57,0,27.54,0,0.57,0,0
 60-70,0,0,0.98,0,7.85,0,0,134.47,0,0.98,0.98,30.43,2.94,0,0,0,0,0,7.85,0.98,36.32,0.98,0.98,4.91,172.75,38.28,5.89,7.85,0,0,1.96,0,0,22.58,0.98,0,26.5,0,0.98,0,1.96
 72-82,0,0,0.98,0,6.87,0,0,100.13,1.96,0.98,0.98,23.56,4.91,0,0,1.96,0.98,0,1.96,0,61.84,0,1.96,4.91,153.14,35.34,9.82,9.82,0,0,0.98,0.98,0,61.84,0,0,21.6,0,0.98,0,0
 84-94,0,0,2.12,0,2.12,0,0,113.64,0,1.06,2.12,12.74,3.19,1.06,1.06,4.25,1.06,1.06,3.19,0,56.29,0,2.12,1.06,83.9,50.98,3.19,4.25,0,0,0,0,0,129.57,0,0,10.62,0,1.06,1.06,1.06
 96-106,1.09,0,1.09,0,12.02,1.09,1.09,104.91,1.09,0,1.09,29.51,3.28,1.09,1.09,0,1.09,0,5.46,1.09,65.57,0,5.46,4.37,78.68,42.62,5.46,5.46,0,0,1.09,0,0,127.86,1.09,0,3.28,0,1.09,1.09,0
108-118,0,0,1.53,0,17.62,0,0,98.04,0.77,4.6,2.3,29.87,6.13,0,0.77,0.77,0,0,0.77,0,75.06,0,3.06,13.79,119.49,37.53,6.13,3.06,0,0,3.83,0,0,138.64,0.77,0,0.77,1.53,1.53,0,0
120,0,0,3.92,0,25.48,1.96,0,97.99,0,0,1.96,21.56,1.96,1.96,1.96,0,0,0,3.92,0,66.63,1.96,1.96,29.4,109.75,43.12,1.96,1.96,0,0,3.92,0,0,86.23,0,0,0,0,0,1.96,0
