stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,gut,heart,ionocyte,lateral.line,mesenchyme,mucous,neural,olfactory,periderm,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,0,0,0.82,0.82,4.93,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0
 48-58,0,1.15,0,0,0,0,0,0,0,0.57,0,1.72,0,3.44,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,1.96,0,2.94,0,5.89,0,0,0
 72-82,0,2.94,0,0.98,0,0,0,0,0,3.93,0,0.98,0,2.94,0,0,0.98
 84-94,0,5.31,0,2.12,0,0,0,0,0,1.06,0,1.06,0,18.05,0,0,0
 96-106,0,22.95,0,0,0,0,2.19,2.19,0,2.19,0,1.09,0,36.06,0,0,0
108-118,0,26.81,2.3,3.06,2.3,0.77,0,0,0,0.77,1.53,3.06,0,49.02,0.77,0,0
120,0,23.52,0,0,0,1.96,0,3.92,0,0,0,3.92,0,43.12,0,1.96,0
