stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,mucous,muscle,neural,periderm,spinal_cord,taste
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0
 24-34,0,1.64,0,0,0.82,0,0,0,0,0.82,0,3.28,0.82,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,0.81,0.81,0.81,0.81,0.81,0
 48-58,0,0,0.57,0,0,0,0,0,0,0.57,0,0.57,0.57,0,0
 60-70,0,0,0.98,0,0,0,0,0,0.98,0,0,2.94,0,0,0
 72-82,0,0,0,0,0,0,0,0,3.93,3.93,0,4.91,0.98,0,0.98
 84-94,0,1.06,0,0,0,0,0,0,1.06,1.06,0,3.19,0,1.06,0
 96-106,0,0,2.19,0,0,1.09,1.09,1.09,2.19,2.19,0,4.37,0,0,1.09
108-118,0,0,3.06,0.77,1.53,0,0,0,0.77,2.3,0,3.83,0,1.53,0
120,0,0,0,0,0,0,0,0,1.96,1.96,0,5.88,0,0,0
