stage,blastomeres,erythrocytes,eye,fin.epithelia,glial,immune,iridophores,mesenchyme,mural.cell,muscle,neural,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,0,0,9,0,0,1,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,6.57,0,0,0,0,0.82,0,0,0.82
 36-46,0,0,1.61,0,0,0,0,1.61,0,0,8.86,0,0,0,0,0.81,0,0,0
 48-58,0,0,1.72,0,0,0,0,1.15,0,0,2.87,0,0,0,0,0,0,0,0
 60-70,0,0,2.94,0,0,0,0,0,0,0.98,4.91,0,0,0,0,0.98,0.98,1.96,0
 72-82,0,0,2.94,0.98,0,0,0.98,3.93,0,0,7.85,0,0,0,0,0,0,0.98,0
 84-94,0,0,3.19,0,0,1.06,0,0,2.12,0,3.19,0,0,0,0,0,0,0,0
 96-106,0,0,3.28,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0.77,0,0,0,0,1.53,0,0,3.83,0.77,0,0,0,0,0,0,0
120,0,0,1.96,0,1.96,1.96,0,0,0,1.96,3.92,0,1.96,0,0,0,0,0,1.96
