stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,15.77,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,92,10.51,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,15.73,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,3.15,163.64,15.73,0,0,62.94,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,26,1,5,0,0,0,6,3,0,1,0,2,0,0,0,0,7,0,0,5,87,3,1,2,3,0,0,15,0,0,12,50,0,0,1,0,0
 24-34,0,0,0.82,2.46,9.03,0,12.31,0,0,0,4.1,0,0.82,2.46,0,0.82,0,0.82,1.64,0,23.8,0.82,0,10.67,192.9,1.64,1.64,0.82,0,0,7.39,0,0,0,4.93,66.49,0,0,6.57,0,1.64
 36-46,0,0,0,0,3.22,0.81,16.92,0,0.81,2.42,9.67,0,0,2.42,0,0.81,0,0.81,0.81,2.42,18.53,0,0.81,9.67,240.09,0.81,3.22,1.61,0,0,6.45,0,0.81,0,0,62.84,0,0,3.22,0,0
 48-58,0,0,1.15,0,2.3,0,40.74,0,1.72,0.57,21.8,0,0.57,0,1.15,0.57,0.57,0,0.57,1.15,31.56,0.57,0.57,6.31,220.34,0,2.3,1.72,0,0,5.74,0,0.57,0,0,47.63,0,0,1.15,0,0
 60-70,0,0,0,0,4.91,1.96,85.39,0,2.94,1.96,24.54,0.98,0,0.98,0,0,0,0,0,1.96,42.21,1.96,1.96,0.98,256.18,0,4.91,0.98,0,0.98,3.93,0,1.96,1.96,0,46.13,0.98,0,0.98,1.96,0
 72-82,0,0,0,0,5.89,1.96,70.68,0,0.98,0,19.63,1.96,0,0,2.94,3.93,0,1.96,0,0,67.73,0,2.94,5.89,178.66,0,2.94,4.91,0,0.98,11.78,0,0.98,0,0,19.63,0.98,0.98,3.93,0.98,2.94
 84-94,0,0,0,0,7.43,4.25,40.36,0,1.06,3.19,7.43,3.19,0,1.06,2.12,4.25,1.06,0,2.12,2.12,43.54,0,3.19,5.31,98.77,2.12,2.12,9.56,0,0,7.43,0,0,1.06,0,9.56,0,2.12,7.43,1.06,2.12
 96-106,0,0,0,0,6.56,3.28,28.41,1.09,1.09,0,14.21,5.46,0,2.19,3.28,0,1.09,1.09,1.09,2.19,30.6,0,1.09,3.28,69.94,0,3.28,18.58,0,1.09,5.46,0,0,0,0,10.93,0,0,2.19,3.28,2.19
108-118,0,0,0,0,12.26,1.53,32.17,0.77,4.6,3.06,17.62,6.89,0,0,2.3,1.53,4.6,0,3.06,0.77,37.53,1.53,1.53,3.83,94.21,0,1.53,9.19,0,0,5.36,0,0.77,1.53,0,3.06,2.3,0,2.3,0.77,0.77
120,0,0,0,0,23.52,0,25.48,3.92,5.88,3.92,21.56,15.68,0,0,9.8,9.8,0,0,3.92,0,39.2,0,1.96,0,109.75,0,3.92,13.72,0,0,15.68,0,0,0,0,5.88,0,0,3.92,1.96,0
