stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,20.52,0,0,0,0,0,0.82,0,0,0.82,9.03,0,0,0,0,0.82,0,0,0,3.28,0,0,0,0,0
 36-46,0,0,1.61,0,0,0.81,0,0,0,0.81,0,0,52.37,0,0,0,0,0,4.03,0,0,0,7.25,0,0,0,0,0.81,0,0,0.81,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,4.59,0,0,0,2.87,0,0,55.09,0,0,0,0,0,1.15,0,0,0,10.33,0,0,0,0,1.72,0,0,0,1.72,0,0,0,0,0
 60-70,0,0,0,0,4.91,3.93,0,0,0,0,0,0,59.87,0,0,0,0.98,0,0.98,0,0.98,0,20.61,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,2.94,3.93,70.68,28.47,0,0,1.96,12.76,0,0,94.24,3.93,1.96,0,0.98,0,29.45,2.94,0,4.91,107.98,0,0,1.96,0,5.89,0,0.98,0,6.87,0.98,0,6.87,0,2.94
 84-94,0,0,6.37,4.25,149.75,32.92,0,3.19,0,6.37,4.25,1.06,129.57,1.06,1.06,0,2.12,3.19,16.99,0,1.06,0,78.59,0,1.06,0,0,7.43,0,0,0,4.25,0,0,2.12,0,0
 96-106,0,1.09,55.74,53.55,312.55,166.11,1.09,13.11,8.74,64.48,21.86,2.19,157.37,10.93,5.46,9.84,19.67,3.28,154.09,4.37,7.65,33.88,382.5,3.28,14.21,3.28,4.37,98.36,1.09,3.28,2.19,8.74,3.28,3.28,26.23,3.28,6.56
108-118,0,3.83,78.89,39.83,648.77,237.45,3.06,22.98,12.26,88.85,23.74,2.3,132.51,13.02,16.85,10.72,25.28,3.06,213.7,5.36,3.06,38.3,625.79,8.43,10.72,11.49,3.06,114.13,0,3.83,0,9.19,2.3,3.83,30.64,9.96,17.62
120,0,3.92,96.03,47.03,295.93,184.22,5.88,13.72,7.84,90.15,25.48,1.96,164.62,5.88,0,7.84,17.64,0,217.54,1.96,11.76,21.56,511.5,9.8,7.84,19.6,1.96,88.19,0,7.84,3.92,19.6,5.88,9.8,25.48,9.8,17.64
