stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,5.26,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,9.44,0,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,15,0,0,0,0,0,1,5,3,5,1,0,0
 24-34,0,0,0,4.93,0.82,9.85,0,0,0,0.82,0,0,1.64,0,0.82,0.82,0,0,0,9.85,0,4.93,62.39,0,0,0.82,0,0,5.75,0,0,11.49,2.46,0,0
 36-46,0,0,0.81,0.81,0,4.83,0,0,0,1.61,0,0,0,0,0.81,0,0,0,0,1.61,0,0,9.67,0,0,0,0,0,3.22,0,0,4.83,0,0,0
 48-58,0,0,0,0,0,6.89,0,0,0,4.02,0.57,0,0,0,0,0,0,0,0,3.44,0.57,1.72,10.33,0,0,0,0,0,0.57,0,0,5.74,0,0,0.57
 60-70,0,0,0,3.93,0,3.93,0,1.96,0,4.91,0.98,0,0,0,0,0,0,0.98,0,8.83,0,1.96,4.91,0.98,0,0.98,0,0,1.96,0,0,0.98,2.94,0,0
 72-82,0,0,0,1.96,0,3.93,0,0,1.96,6.87,0,0,0,0,0,0,1.96,0,0,18.65,1.96,0.98,8.83,0,0,0,0,0.98,1.96,0,0,0,2.94,0.98,0
 84-94,0,1.06,0,5.31,0,1.06,0,1.06,2.12,1.06,0,0,0,2.12,0,0,0,2.12,0,6.37,0,2.12,4.25,2.12,1.06,0,0,0,3.19,0,0,3.19,0,0,0
 96-106,0,1.09,0,2.19,0,4.37,0,0,0,2.19,1.09,0,0,0,0,0,1.09,0,0,8.74,0,1.09,3.28,0,0,1.09,0,0,2.19,0,0,0,0,2.19,0
108-118,0,0,0,2.3,0,5.36,0.77,0.77,0,2.3,0.77,0,0,0.77,0,0.77,0,1.53,0.77,8.43,0,0,2.3,0,0,2.3,0,0.77,3.06,0,0,0,2.3,0,0
120,0,0,0,3.92,1.96,3.92,0,0,0,3.92,0,0,0,0,0,1.96,0,0,0,1.96,0,0,3.92,0,1.96,0,0,0,3.92,0,0,0,0,1.96,0
