stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,65.89,1054.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,36.78,588.44,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,24.52,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,44.06,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,1,2,0,0,3,0,0,0,0,0,0,0,0,2,0,1,19,1,0,0,0,1,2,0,0,5,3,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,2.46,0,0,0,0,0,0,0,0,2.46,0,0.82,6.57,0,0,0,0,5.75,0,0.82,0.82,0,15.6,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,2.42,0,1.61,8.86,0,0,0,0,5.64,0,0,4.83,0,13.7,0,0,0,0
 48-58,0,0,0,0.57,4.59,0,0,1.72,0.57,0,0,0,0.57,0,0.57,0,2.3,0,0,10.33,0,0,0,0,5.16,0,0,8.61,0,5.74,0,0,0.57,0
 60-70,0,0,0,0,10.8,0,0,1.96,0.98,0,0,0.98,0,1.96,0,0,3.93,0,0,13.74,0,0,0,0,4.91,0,0,5.89,0,2.94,0,0,0,0
 72-82,0,0,0,0,9.82,0,0,1.96,0,0,0.98,0.98,0,0,0,0,0.98,0,0,10.8,0,0.98,0.98,0,1.96,0,0,0,0,0.98,0,0.98,1.96,0
 84-94,0,0,0,2.12,9.56,1.06,0,3.19,7.43,0,0,1.06,0,0,0,1.06,0,1.06,1.06,5.31,0,0,0,0,11.68,0,0,4.25,0,1.06,0,0,3.19,0
 96-106,0,0,0,4.37,7.65,0,0,3.28,1.09,0,1.09,1.09,0,0,0,0,3.28,1.09,0,7.65,0,0,1.09,0,9.84,0,0,2.19,0,0,1.09,0,0,1.09
108-118,0,0,0.77,0,7.66,0,0,3.06,0,0,0.77,0.77,0,0,0,0,2.3,0,0.77,13.02,0,0,0,0,9.19,0,0,0.77,0,3.06,0,0,1.53,0
120,0,0,0,0,5.88,0,1.96,3.92,1.96,0,0,0,0,0,0,0,7.84,0,0,9.8,1.96,0,0,0,5.88,0,0,0,0,0,0,0,0,0
