stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,neural,olfactory,spinal.cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0,12.09,0.81,1.61,0,0
 48-58,0,0,0,4.59,0.57,0,0,0,23.53,0.57,1.72,0,0
 60-70,0,0,0,8.83,0,0,0,0.98,22.58,0.98,0.98,0.98,0
 72-82,0,0,0,16.69,0,0,0,0.98,23.56,0,0,0,0
 84-94,0,0,0,4.25,0,0,0,0,5.31,1.06,0,0,0
 96-106,1.09,1.09,0,3.28,0,0,0,1.09,8.74,0,0,0,0
108-118,0,0,0,3.06,0,0,0,0,6.89,0.77,0,0,0.77
120,0,0,0,3.92,0,3.92,0,0,15.68,0,0,0,0
