stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,7.89,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,65.72,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,9.44,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,195.11,6.29,0,0,100.7,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,0,24,5,0,5,0,0,0,4,3,0,0,1,0,0,0,13,0,0,6,76,2,0,2,3,0,0,33,4,0,9,34,0,0,1
 24-34,0,0,0,0.82,10.67,0,0,8.21,0,0.82,0,3.28,1.64,0,0,0,0,0,0.82,13.13,0,0,3.28,43.51,0,2.46,0,0,0,3.28,0,0.82,0.82,2.46,9.85,0,0,2.46
 36-46,0,0,0,0,3.22,0,0,11.28,0.81,0,0.81,1.61,0,0,0,0,0,0,0,4.83,0,0.81,3.22,22.56,0,3.22,1.61,0,0,4.03,0,0,0,0,8.06,0,0,1.61
 48-58,0,0,0,0,7.46,0,0,25.25,0,0.57,0,4.02,1.15,0,0.57,0,0.57,1.72,0,10.9,0,0.57,2.87,17.21,0,2.3,2.87,0,0,1.72,0,1.15,0,0,4.59,0,0,0.57
 60-70,0,0,0,0,6.87,0,0,23.56,0,0,0,4.91,1.96,0,0,0,0,1.96,0,6.87,0,0.98,0,15.7,0,2.94,0,0,0.98,0.98,0,1.96,0,0,0.98,0,0,0
 72-82,0,0,0,0,7.85,0,0,12.76,0,1.96,0.98,3.93,2.94,0,0,0.98,0,0,0,6.87,0.98,0.98,1.96,7.85,0,1.96,2.94,0,0.98,0,0,0,0,0,0.98,0,0,1.96
 84-94,0,0,2.12,0,9.56,1.06,0,10.62,0,0,0,0,1.06,0,0,2.12,0,1.06,0,3.19,0,0,1.06,4.25,0,1.06,1.06,0,0,2.12,0,1.06,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,4.37,1.09,0,7.65,0,1.09,0,0,1.09,0,0,0,1.09,0,0,4.37,0,1.09,2.19,8.74,0,1.09,4.37,0,0,3.28,0,2.19,0,0,0,0,0,0
108-118,0,0,0.77,0,6.89,0,0.77,0.77,0,0,0.77,0.77,1.53,0,0.77,0.77,2.3,0,0,3.06,0,0.77,1.53,8.43,0,0.77,0.77,0,0,0.77,0,0.77,0,0,0,0.77,0,0.77
120,0,0,0,0,5.88,0,0,5.88,0,0,0,0,1.96,0,0,0,0,1.96,0,7.84,0,0,0,3.92,0,0,0,0,0,3.92,0,0,0,0,0,0,0,1.96
