stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,2385.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,563.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,13.14,0,0,0,23.66,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,184.01,13.14,0,0,134.06,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,44.06,0,3.15,0,72.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.9,15.73,0,0,198.26,0,0,9.44,0,31.47,0,9.44,0,0,0,0,0
 14-21,0,0,0,1,4,3,0,6,0,0,15,2,0,1,0,0,0,0,0,0,5,0,5,111,0,5,6,1,0,0,1,12,11,5,75,0,0,1,0,0
 24-34,0,0,0,0,2.46,0,0,16.42,0,0,6.57,0,0.82,0,0,0.82,0,2.46,0.82,0,9.85,0.82,9.03,146.93,0.82,10.67,1.64,0,0,0.82,0,0,12.31,2.46,66.49,0,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,0,33.84,0,0,8.86,0,0,0.81,0,0,0,0.81,0,0,21.75,0.81,1.61,140.19,0,10.47,1.61,0,0,1.61,0,0,4.83,0,38.67,0,0,1.61,0,1.61
 48-58,0,0,0,0,1.72,0,0,59.1,1.15,0.57,12.05,0,0,1.15,0,0,0.57,0.57,0,0.57,22.95,0.57,2.3,141.73,0,8.61,2.3,0,0,1.72,0,0,0,0,30.41,0,0,2.87,0,0
 60-70,0,0,0,0,5.89,0,0,64.78,0.98,0,16.69,0,0,0.98,0.98,0,0,0,0,0,26.5,0.98,2.94,159.01,0.98,5.89,4.91,0,0,0.98,0,0,1.96,0,11.78,0,0,3.93,0,0.98
 72-82,0,0,0.98,0,0.98,0.98,0,38.28,0.98,0.98,16.69,0.98,0,1.96,0,0,0,1.96,0,0,22.58,0.98,5.89,158.05,0.98,10.8,13.74,0,0,0,0,0,0,0,11.78,0.98,0,1.96,1.96,0
 84-94,0,0,1.06,0,4.25,0,0,37.17,1.06,1.06,8.5,1.06,0,0,1.06,0,0,2.12,0,1.06,26.55,1.06,4.25,64.78,0,9.56,9.56,0,0,0,0,0,2.12,0,4.25,0,0,2.12,1.06,0
 96-106,0,0,3.28,0,9.84,0,1.09,21.86,0,0,17.49,1.09,0,2.19,4.37,0,0,6.56,0,0,17.49,0,3.28,45.9,0,10.93,8.74,0,2.19,2.19,0,0,2.19,0,3.28,0,0,2.19,0,0
108-118,0,0,1.53,0,2.3,0.77,0.77,20.68,0,0.77,15.32,1.53,0,0.77,0,0.77,0,4.6,0.77,0,17.62,0,0,80.43,0,3.83,9.96,0,0,1.53,0,0,1.53,0,3.06,0.77,1.53,0.77,0,0
120,0,0,0,0,11.76,0,0,15.68,0,0,9.8,1.96,0,0,3.92,1.96,1.96,1.96,0,0,17.64,0,0,76.43,1.96,7.84,11.76,0,0,1.96,0,0,0,0,9.8,0,3.92,0,1.96,0
