stage,blastomeres,endoderm,epidermis,eye,mesenchyme,neural,paraxial.mesoderm,slow.muscle,somites,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,6.13,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,1,1,0,0,0,0,2,0,3
 24-34,0,0,0,0,0,3.28,0,0,0.82,0
 36-46,0,0,0,0,0,4.83,0,0,0,0
 48-58,0,0,0,1.72,0,3.44,0,0,0,0.57
 60-70,0,0,0,0.98,0.98,9.82,0,0,0,0.98
 72-82,0,0,0,0,0.98,1.96,0,0,0,0
 84-94,0,0,0,1.06,1.06,2.12,0,0,0,0
 96-106,0,0,0,0,0,3.28,0,0,0,0
108-118,0,0,0,0.77,1.53,0.77,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0
