stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,1,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,0,3,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,4.1,0,3.28,2.46,7.39,0,0,0,0,0,0.82,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,6.45,0,2.42,0,11.28,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,14.35,0.57,4.02,1.15,6.31,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,53,0,0.98,4.91,5.89,0,0.98,0,0.98,0,0,0,1.96,0.98,0
 72-82,0,0.98,0.98,0,0,3.93,0.98,0.98,0,62.83,0,0.98,4.91,1.96,0,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,0,2.12,1.06,0,1.06,2.12,2.12,0,58.41,0,0,0,1.06,0,0,0,0,0,0,0,0,0,1.06
 96-106,1.09,0,0,0,1.09,1.09,0,0,0,26.23,0,0,2.19,1.09,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,1.53,0,0,0,0,0,0,17.62,0,0,0.77,0,0.77,0.77,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,15.68,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0
