stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
 14-21,0,8,6,9,0,0,0,1,1,0,0,4,1,47,0,1,0,0,4,1,5,24,1
 24-34,0.82,0.82,3.28,0.82,0,0.82,0,0,0,0.82,0,0.82,0,38.58,0.82,0,0,1.64,0,0,0,9.85,0.82
 36-46,0,3.22,0,5.64,0,0,0,0,0,0.81,0.81,2.42,0,15.31,0,0,0,3.22,0,0,0,3.22,0.81
 48-58,0,1.15,0,1.15,0.57,0.57,1.15,0,0,0,0,1.15,0,7.46,0,0,0,0.57,0,0,0,2.3,0
 60-70,0,2.94,0,1.96,0,0,0,0,0,0.98,0,0.98,0,4.91,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,2.12,0,0,0,5.31,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0.77,1.53,0,0,0,0,0
120,0,5.88,0,0,0,3.92,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0
